comuna;cut_comuna;region;poblacion;hogares;ytotcorh;ytrabajocorh;ypchautcor;ypc;numper;v12mt;p9;esc;edad;ytotcor;yoprcor;ytrabajocor;y2803;y0101;ytot;dau;qaut;dautr;qautr;originario_p;extranjero_p;pobreza_p;pobreza_multi_p;inactivos_p;desocupados_p;independientes_p;trabajo_familiar_no_remunerado_p;trabajo_servicio_domestico_p;trabajo_empleador_p;trabajo_domestico_p;fonasa_p;isapre_p;estudios_basica_o_menos_p;estudios_sin_media_o_menos_p;estudios_superiores_p;estudios_superiores_incompletos_p;ingreso_ocup_princ_menor_mediana_p;ingreso_ocup_princ_menor_2medianas_p;ingreso_ytrabajocor_menor_mediana_p;ingreso_ytrabajocor_menor_2medianas_p;pension_menor_mediana_p;pension_menor_salario_minimo_p;hogar_jefatura_femenina_p;hacinamiento_p;men18c_p;rural_p;may60c_p;vivienda_propia_p;vivienda_arrendada_p;vivienda_pequeña_p;vivienda_mediana_p;vivienda_grande_p;sector_malo_p;sector_dañado_p;ingreso_percapita_hogar_menor_mediana_p;ingreso_total_hogar_menor_mediana_p;ingreso_trabajo_hogar_menor_mediana_p;carencia_estado_vivienda_p;carencia_servicios_basicos_p
Aisén;11201;Región de Aysén del Gral. Carlos Ibáñez del Campo;25112;9443;1401340,912845494;907685,489251297;452887,204595997;620251,499735254;2,65868897596103;46,8493150684931;2,68346923647146;10,28099761263778;36,3695842625040;421797,211930551;631608,279612705;719904,960262119;353395,424107143;676286,410236919;420227,665020707;NA;NA;4,43736062440268;2,48255813953488;0,41796750557502388;0,01919401083147499;0,06630296272698312;0,1275485823510672;0,2970691302962727;0,02986619942656897;0,1135712010194329;0,007287352660082829;0,00716788786237655;0,01875597323988532;0,01015450780503345;0,917768397578847;0,03647658489964957;0,25728735266008285;0,3364925135393437;0,1058856323669959;0,06721885950939789;0,2495619624084103;0,375876075183179;0,2402038865880854;0,387703090156101;0,01883561643835616;0,02902994584262504;0,5721698612729006;0,2395425182674997;0,4395848776871757;0,221539764905220787;0,357513502065022;0,6589007730594091;0,1964418087472202;0,02001482579688658;0,906703378163719;0,06555120194853331;0,00180027533622789;0,01355501429630414;0,4798263263793286;0,5172085142433549;0,5525786296727735;0,0525256803981785;0,02499205760881076
Algarrobo;5602;Región de Valparaíso;15731;5554;1263159,904753331;806079,136658264;344858,637558516;508035,172488297;2,82355059416637;NA;2,88296723082463;11,66757613745299;42,5652533214672;361113,488462272;606721,796817122;615637,519634579;400156,479217604;597100,554435484;358272,589790859;NA;NA;4,82764123842962;2,67781678902011;0,04227321848579239;0,03178437480134766;0,06344161210348992;0,2427690547326934;0,3522980102981375;0,03992117475049266;0,1262475367109529;0,002860593732121289;0,03019515606128027;0,08848769944695188;0,04824868094844574;0,772487445171953;0,13985124912592969;0,18212446761172207;0,2654630983408556;0,1879092238255674;0,14512745534295340;0,3207043417455979;0,410908397431823;0,3029050918568432;0,413768991163944;0,01093382493166359;0,02110482486809484;0,4890169247389269;0,3521786100108030;0,3120273676629456;0,172308246308966517;0,552034569679510;0,5462729564277998;0,1636658264314008;0,16582643140079223;0,739647101188333;0,09452646741087505;0,02250630176449406;0,01422398271516024;0,6148721642059777;0,5828231904933381;0,5990277277637739;0,0740007202016565;0,12117392870003602
Alhué;13502;Región Metropolitana de Santiago;7693;2499;1280614,395758303;859366,687474990;319405,428971589;485853,669467787;3,08083233293317;64,7692307692308;3,12284913965586;9,91530486733439;37,1666450019498;336119,839594437;611179,815209666;659996,108307692;162559,845559846;700297,798877859;332001,941505265;NA;NA;4,03951644352008;2,32263096321331;0,02976732094111530;0,04523592876641102;0,13362797348238659;0,3262706356427921;0,3497985181333680;0,02157805797478227;0,0613544780969713;0,000000000000000000;0,00000000000000000;0,00649941505264526;0,00324970752632263;0,711815936565709;0,25009749122578967;0,26127648511633955;0,3438190562849344;0,1019108280254777;0,03470687638112570;0,1605355518003380;0,312101910828025;0,1741843234108930;0,334069933705966;0,03041726244637983;0,03366696997270246;0,3649459783913566;0,3405362144857943;0,4453781512605042;0,692677070828331298;0,453781512605042;0,7050820328131252;0,1332533013205282;0,00000000000000000;0,765106042416967;0,18287314925970388;0,00000000000000000;0,00000000000000000;0,5274109643857543;0,5494197679071628;0,5686274509803921;0,0272108843537415;0,24409763905562226
Alto Biobío;8314;Región del Biobío;6775;2126;853589,857478834;457759,738946378;200455,079021637;334057,467544685;3,19002822201317;NA;3,19002822201317;8,76116201988692;34,2420664206642;207517,560147601;394035,361414457;333126,822222222;236161,137440758;464996,232102487;207517,560147601;NA;NA;3,30671586715867;1,93151291512915;0,74007380073800733;0,00000000000000000;0,22523985239852398;0,4199261992619926;0,3853874538745388;0,04472324723247233;0,1084870848708487;0,000000000000000000;0,01092250922509225;0,00000000000000000;0,00472324723247233;0,973284132841328;0,01107011070110701;0,34154981549815500;0,4135793357933579;0,0594833948339483;0,02538745387453874;0,2346863468634686;0,272324723247232;0,3524723247232472;0,410479704797048;0,02494464944649447;0,03114391143911439;0,2587017873941674;0,3871119473189087;0,5018814675446849;1,000000000000000000;0,429915333960489;0,7666980244590781;0,0733772342427093;0,14487300094073377;0,819849482596425;0,03527751646284102;0,06302916274694262;0,00000000000000000;0,8137347130761995;0,8320790216368767;0,8118532455315146;0,1928504233301976;0,41015992474129820
Alto Hospicio;1107;Región de Tarapacá;138543;40438;1104934,352737524;768470,995524012;295319,638854543;394112,277338147;3,42489737375736;49,5333333333333;3,61340818042435;11,16643994081959;30,1186274297511;264440,190135914;502520,984617402;540689,875476095;221233,243967828;581314,620661622;263125,967114903;NA;NA;4,02712515247974;2,28679182636438;0,26542661845058935;0,17617634958099651;0,15945951798358632;0,3221599070324737;0,2770042513876558;0,05020823859740297;0,1525374793385447;0,001631262496120338;0,00271395884310286;0,01124560605732516;0,00758609240452423;0,880224912121147;0,03792324404697459;0,12971424034415308;0,2233963462607277;0,0736594414730445;0,07427296940300124;0,2640912929559776;0,362746584093025;0,2540583068072728;0,376872162433324;0,00895028980172221;0,01039388493103224;0,5545526484989366;0,4752707849052871;0,5611553489292250;0,014936445917206588;0,247959839754686;0,4763835995845492;0,2807507789702755;0,10438201691478312;0,821553983876552;0,07035461694445819;0,09948563232602997;0,13274642662841882;0,7100252237993966;0,5717147237746674;0,5629853108462337;0,1668232850289332;0,17107671002522379
Alto del Carmen;3302;Región de Atacama;5772;2664;705622,262387387;305446,497747748;216700,487987988;377033,209459459;2,16854354354354;NA;2,21696696696697;8,84250703093612;47,6048163548164;257087,928967429;393160,293347302;391339,947292765;308138,686131387;434214,117647059;257087,928967429;NA;NA;3,39639639639640;1,99272349272349;0,56860706860706856;0,00883575883575884;0,13149688149688149;0,1779279279279279;0,4928967428967429;0,02373527373527374;0,0876645876645877;0,003465003465003465;0,00450450450450450;0,02512127512127512;0,02529452529452529;0,958419958419958;0,01767151767151767;0,39830214830214833;0,4958419958419958;0,0457380457380457;0,02893277893277893;0,2645530145530146;0,323111573111573;0,2737352737352737;0,345807345807346;0,03378378378378379;0,04469854469854470;0,4620870870870871;0,1452702702702703;0,2916666666666667;1,000000000000000000;0,644894894894895;0,5255255255255256;0,0957207207207207;0,09084084084084085;0,837837837837838;0,07132132132132132;0,13025525525525525;0,00000000000000000;0,7721471471471472;0,8719969969969970;0,8678678678678678;0,2199699699699700;0,06981981981981981
Ancud;10202;Región de Los Lagos;42484;16409;1110903,036991895;610209,937412396;312722,256139923;478359,826132001;2,58918885977208;61,6239316239316;2,60399780608203;9,88245652652432;44,8411401939554;340567,301548818;483681,964855646;504269,287476090;293381,673429952;529200,239587173;325314,590951888;NA;NA;5,15577629225120;2,81720177007815;0,33989266547406083;0,00795593635250918;0,04545240561152434;0,2182704076828924;0,4216175501365220;0,02874023161660861;0,1324734017512475;0,005131343564636098;0,01221636380755108;0,01005084267018171;0,01923076923076923;0,886427831654270;0,04196874117314753;0,32755861030034839;0,4222530835137934;0,1005084267018172;0,07209773091046041;0,2819178985029658;0,361194802749270;0,3082572262498823;0,422653234158742;0,01480557386310140;0,02259674230298465;0,4634651715521970;0,2347492229873850;0,3122067158266805;0,306234383569992052;0,541653970382107;0,7770126150283381;0,0984825400694741;0,02888658662928880;0,778962764336645;0,14936924858309464;0,00749588640380279;0,03607776220366872;0,5673715643853983;0,6206959595344018;0,6682308489243708;0,0363215308672070;0,21408982875251387
Andacollo;4103;Región de Coquimbo;11820;3275;955923,754503817;541508,971297710;184329,940763359;312333,207633588;3,60854961832061;NA;3,63664122137405;10,36408335284477;34,0671742808799;203230,698138748;429609,397315436;473440,285141636;198469,387755102;521168,886774500;191163,185025381;NA;NA;3,60270727580372;2,01455160744501;0,00000000000000000;0,00922165820642978;0,11404399323181048;0,2159052453468697;0,3797800338409476;0,01759729272419628;0,1050761421319797;0,000000000000000000;0,00143824027072758;0,01624365482233503;0,00143824027072758;0,864043993231810;0,07123519458544839;0,17851099830795261;0,2297800338409476;0,0275803722504230;0,04069373942470389;0,2350253807106599;0,315143824027073;0,2110829103214890;0,300000000000000;0,00761421319796954;0,00761421319796954;0,5273282442748092;0,4561832061068702;0,5554198473282442;0,088549618320610687;0,413435114503817;0,6045801526717557;0,0369465648854962;0,00763358778625954;0,992366412213740;0,00000000000000000;0,00000000000000000;0,02839694656488550;0,8366412213740458;0,7050381679389313;0,6531297709923665;0,2378625954198473;0,06778625954198474
Angol;9201;Región de La Araucanía;56561;19594;1254160,320659386;791182,805450648;360794,649688680;502680,141727059;2,88414820863530;50,0000000000000;2,93778707767684;11,09719259322468;40,1475398242605;354689,037216457;634549,127564550;664603,284619993;249878,354203936;652857,374182266;331620,087215573;NA;NA;5,72013591477011;3,08953031536474;0,13940701189865809;0,02547691872491646;0,08781669348137409;0,2382030020685632;0,4113611852690016;0,03000300560456852;0,0763600360672548;0,001202241827407578;0,01879386856668022;0,01241137886529588;0,02425699687063524;0,879917257474231;0,07163946889199271;0,20887183748519297;0,3162603207156875;0,1564328777779742;0,08728629267516487;0,2353918777956542;0,337334912749067;0,2315553119640742;0,349428051130638;0,02835876310531992;0,03642085535970015;0,5536388690415434;0,3123405124017556;0,3887924874961723;0,080585893640910483;0,500459324282944;0,6589262018985403;0,1366744921914872;0,11212616106971522;0,767275696641829;0,10242931509645810;0,06752066959273247;0,02970297029702970;0,6343778707767684;0,6334592222108809;0,6174339083392876;0,1768908849647851;0,28626110033683783
Antofagasta;2101;Región de Antofagasta;438946;149304;1751762,655052778;1203832,380036704;568485,942988801;730389,615482506;2,94002839843541;64,0547279792746;3,23946444837379;12,23784367189275;36,0400801009691;489394,626017779;810615,936183767;903630,412186416;366018,900323410;885626,212911832;468928,622263331;NA;NA;5,11618969075923;2,80274566803206;0,08830926811042816;0,11559508458899273;0,07033894829887959;0,1654144245533619;0,3181097447066382;0,04574138960145439;0,0829760380547949;0,001713194789336274;0,00767064741448834;0,02227153226137156;0,01169392134795624;0,730338128152438;0,20964309960678534;0,10540476505082630;0,2024349236580354;0,1823231103598165;0,10763282955078757;0,1953543260446615;0,337699853740551;0,1875447093719956;0,335191572539675;0,01321119226510778;0,02081349414278750;0,5167912447087821;0,3829435246209077;0,4365589669399346;0,003898087124256551;0,347780367572202;0,5048223758238225;0,2480442586936720;0,06599957134437122;0,749290039114826;0,16152949686545570;0,06370894282805552;0,21024888817446283;0,4242485131007876;0,4203638214649306;0,4714542142206505;0,1286033863794674;0,04326742753040776
