"";"cut_comuna";"cut_region";"tipo";"n"
"1";"01101";1;"Comisaria";1
"2";"01101";1;"Prefectura";1
"3";"01101";1;"Reten";1
"4";"01101";1;"Subcomisaria";1
"5";"01101";1;"Zona";1
"6";"01107";1;"Comisaria";1
"7";"01401";1;"Comisaria";1
"8";"01401";1;"Reten";2
"9";"01402";1;"Reten";1
"10";"01403";1;"Subcomisaria";1
"11";"01404";1;"Reten";1
"12";"01404";1;"Tenencia carreteras";1
"13";"01405";1;"Reten";1
"14";"01405";1;"Tenencia";2
"15";"02101";2;"Comisaria";2
"16";"02101";2;"Prefectura";1
"17";"02101";2;"Reten";3
"18";"02101";2;"Subcomisaria";2
"19";"02101";2;"Zona";1
"20";"02102";2;"Reten";1
"21";"02102";2;"Tenencia";1
"22";"02103";2;"Reten";1
"23";"02103";2;"Tenencia";1
"24";"02104";2;"Comisaria";1
"25";"02104";2;"Reten";1
"26";"02201";2;"Comisaria";1
"27";"02201";2;"Prefectura";1
"28";"02201";2;"Reten";2
"29";"02202";2;"Reten";1
"30";"02202";2;"Tenencia";1
"31";"02203";2;"Reten";3
"32";"02203";2;"Subcomisaria";1
"33";"02301";2;"Comisaria";1
"34";"02302";2;"Reten";1
"35";"02302";2;"Tenencia";1
"36";"03101";3;"Comisaria";1
"37";"03101";3;"Prefectura";1
"38";"03101";3;"Reten";3
"39";"03101";3;"Subcomisaria";1
"40";"03101";3;"Tenencia carreteras";1
"41";"03101";3;"Zona";1
"42";"03102";3;"Subcomisaria";1
"43";"03103";3;"Reten";2
"44";"03201";3;"Comisaria";1
"45";"03201";3;"Reten";1
"46";"03202";3;"Comisaria";1
"47";"03202";3;"Reten";1
"48";"03202";3;"Subcomisaria";1
"49";"03301";3;"Comisaria";1
"50";"03301";3;"Reten";2
"51";"03301";3;"Tenencia carreteras";1
"52";"03302";3;"Reten";3
"53";"03302";3;"Tenencia";1
"54";"03303";3;"Tenencia";1
"55";"03304";3;"Subcomisaria";1
"56";"04101";4;"Comisaria";2
"57";"04101";4;"Prefectura";1
"58";"04101";4;"Reten";1
"59";"04101";4;"Subcomisaria";2
"60";"04101";4;"Tenencia carreteras";1
"61";"04101";4;"Zona";1
"62";"04102";4;"Comisaria";1
"63";"04102";4;"Reten";2
"64";"04102";4;"Subcomisaria";1
"65";"04102";4;"Tenencia";3
"66";"04103";4;"Tenencia";1
"67";"04104";4;"Reten";1
"68";"04105";4;"Reten";1
"69";"04105";4;"Tenencia";1
"70";"04106";4;"Comisaria";1
"71";"04106";4;"Reten";1
"72";"04106";4;"Tenencia";1
"73";"04201";4;"Comisaria";1
"74";"04202";4;"Reten";1
"75";"04202";4;"Tenencia carreteras";1
"76";"04203";4;"Reten";1
"77";"04203";4;"Subcomisaria";1
"78";"04204";4;"Reten";1
"79";"04204";4;"Subcomisaria";1
"80";"04301";4;"Comisaria";1
"81";"04301";4;"Reten";1
"82";"04301";4;"Tenencia carreteras";1
"83";"04302";4;"Reten";1
"84";"04302";4;"Subcomisaria";1
"85";"04303";4;"Reten";5
"86";"04303";4;"Subcomisaria";1
"87";"04304";4;"Tenencia";1
"88";"04305";4;"Reten";2
"89";"05101";5;"Comisaria";5
"90";"05101";5;"Prefectura";1
"91";"05101";5;"Reten";4
"92";"05101";5;"Subcomisaria";1
"93";"05101";5;"Tenencia";3
"94";"05101";5;"Tenencia carreteras";1
"95";"05101";5;"Zona";1
"96";"05102";5;"Comisaria";1
"97";"05102";5;"Reten";1
"98";"05103";5;"Subcomisaria";1
"99";"05104";5;"Reten";1
"100";"05105";5;"Reten";3
"101";"05105";5;"Tenencia";1
"102";"05107";5;"Subcomisaria";1
"103";"05109";5;"Comisaria";2
"104";"05109";5;"Prefectura";1
"105";"05109";5;"Reten";1
"106";"05109";5;"Subcomisaria";1
"107";"05109";5;"Tenencia";4
"108";"05201";5;"Comisaria";1
"109";"05301";5;"Comisaria";1
"110";"05301";5;"Reten";1
"111";"05301";5;"Subcomisaria";1
"112";"05302";5;"Tenencia";1
"113";"05303";5;"Tenencia";1
"114";"05304";5;"Tenencia";1
"115";"05401";5;"Comisaria";1
"116";"05401";5;"Reten";2
"117";"05402";5;"Reten";1
"118";"05402";5;"Tenencia";1
"119";"05403";5;"Reten";1
"120";"05403";5;"Tenencia carreteras";1
"121";"05404";5;"Reten";1
"122";"05404";5;"Tenencia";1
"123";"05405";5;"Reten";3
"124";"05501";5;"Comisaria";1
"125";"05501";5;"Reten";1
"126";"05502";5;"Comisaria";1
"127";"05503";5;"Reten";1
"128";"05503";5;"Tenencia carreteras";1
"129";"05504";5;"Tenencia";1
