"";"cut_comuna";"comuna";"cut_region";"region";"delitos_mcs_aumento_2a";"delitos_mcs_aumento_3a";"delitos_mcs_aumento_5a";"delitos_mcs_aumento_10a"
"1";1101;"Iquique";1;"Tarapacá";1,11928353658537;1,41678726483357;1,08818080770656;0,937739463601533
"2";1107;"Alto Hospicio";1;"Tarapacá";1,0135;1,3123988345743;1,26647922524211;1,18955399061033
"3";1401;"Pozo Almonte";1;"Tarapacá";1,21887550200803;1,47688564476886;1,11992619926199;1,75433526011561
"4";1402;"Camiña";1;"Tarapacá";1,46153846153846;1,58333333333333;1,9;1,46153846153846
"5";1403;"Colchane";1;"Tarapacá";0,87037037037037;1,42424242424242;2,04347826086957;4,7
"6";1404;"Huara";1;"Tarapacá";1,06896551724138;1,12727272727273;0,96875;1,2156862745098
"7";1405;"Pica";1;"Tarapacá";1,76785714285714;1,92233009708738;1,73684210526316;1,44525547445255
"8";2101;"Antofagasta";2;"Antofagasta";1,44598742873849;1,69645000857486;1,3987556561086;1,01269451269451
"9";2102;"Mejillones";2;"Antofagasta";1,37425149700599;1,42105263157895;1,31518624641834;1,26446280991736
"10";2103;"Sierra Gorda";2;"Antofagasta";1,18095238095238;2,13793103448276;1,37777777777778;1,40909090909091
"11";2104;"Taltal";2;"Antofagasta";1,7910447761194;1,50943396226415;1,34078212290503;1,11627906976744
"12";2201;"Calama";2;"Antofagasta";1,02718589272594;1,29324699352451;0,919333625602806;0,840312562612703
"13";2202;"Ollagüe";2;"Antofagasta";1;1;1,2;3
"14";2203;"San Pedro de Atacama";2;"Antofagasta";1,46153846153846;1,43010752688172;1,17699115044248;1,26666666666667
"15";2301;"Tocopilla";2;"Antofagasta";1,24129353233831;1,22604422604423;0,895870736086176;0,689226519337017
"16";2302;"María Elena";2;"Antofagasta";1,24444444444444;1,43589743589744;1,36585365853659;0,96551724137931
"17";3101;"Copiapó";3;"Atacama";1,36840265641384;1,3579604578564;1,05241935483871;0,821788413098237
"18";3102;"Caldera";3;"Atacama";1,23430962343096;1,00682593856655;0,811554332874828;1,04982206405694
"19";3103;"Tierra Amarilla";3;"Atacama";1,28731343283582;1,33720930232558;0,971830985915493;1,31178707224335
"20";3201;"Chañaral";3;"Atacama";1,64705882352941;1,29230769230769;0,833746898263027;1,2
"21";3202;"Diego de Almagro";3;"Atacama";1,7027027027027;1,75;1,3125;1,02024291497976
"22";3301;"Vallenar";3;"Atacama";1,34493670886076;1,5779702970297;1,30635245901639;1,08326253186066
"23";3302;"Alto del Carmen";3;"Atacama";1,38461538461538;1,25581395348837;1,31707317073171;1,86206896551724
"24";3303;"Freirina";3;"Atacama";1,23711340206186;1,21212121212121;2,06896551724138;1,2
"25";3304;"Huasco";3;"Atacama";1,50837988826816;1,47540983606557;1,49171270718232;1,51685393258427
"26";4101;"La Serena";4;"Coquimbo";1,42796699809604;1,48188803512623;1,20816180418829;1,27046866177301
"27";4102;"Coquimbo";4;"Coquimbo";1,36439267886855;1,22433743934304;1,10196539559886;1,24714828897338
"28";4103;"Andacollo";4;"Coquimbo";1,21333333333333;1,04597701149425;1,06432748538012;1,16666666666667
"29";4104;"La Higuera";4;"Coquimbo";1,5;1,5;1,13684210526316;1,6875
"30";4105;"Paiguano";4;"Coquimbo";1,28571428571429;1,22222222222222;1,3943661971831;1,22222222222222
"31";4106;"Vicuña";4;"Coquimbo";1,31702544031311;1,54712643678161;1,38477366255144;1,34331337325349
"32";4201;"Illapel";4;"Coquimbo";2,16740088105727;1,58709677419355;1,1415313225058;1,13888888888889
"33";4202;"Canela";4;"Coquimbo";1,32857142857143;1,29166666666667;1,06896551724138;1,29166666666667
"34";4203;"Los Vilos";4;"Coquimbo";1,26215644820296;1,50377833753149;1,33856502242152;1,06797853309481
"35";4204;"Salamanca";4;"Coquimbo";1,66779661016949;1,32258064516129;1,24873096446701;1,10313901345291
"36";4301;"Ovalle";4;"Coquimbo";1,25801526717557;1,35452054794521;1,11754068716094;1,14180138568129
"37";4302;"Combarbalá";4;"Coquimbo";1,39506172839506;1,29885057471264;1,18947368421053;0,941666666666667
"38";4303;"Monte Patria";4;"Coquimbo";1,10122699386503;1,4078431372549;1,23793103448276;1,28214285714286
"39";4304;"Punitaqui";4;"Coquimbo";1,64634146341463;1,22727272727273;1,33663366336634;1,11570247933884
"40";4305;"Río Hurtado";4;"Coquimbo";1,22222222222222;1,7741935483871;1,27906976744186;2,89473684210526
"41";5101;"Valparaíso";5;"Valparaíso";1,49973427812223;1,32198625858838;0,928493090590042;0,924841599300852
"42";5102;"Casablanca";5;"Valparaíso";1,7565445026178;1,49111111111111;1,14115646258503;1,25891181988743
"43";5103;"Concón";5;"Valparaíso";1,46327683615819;1,39247311827957;1,06694129763131;0,870588235294118
"44";5104;"Juan Fernández";5;"Valparaíso";1,76470588235294;2,14285714285714;1,5;1,42857142857143
"45";5105;"Puchuncaví";5;"Valparaíso";1,55008210180624;1,69175627240143;1,65034965034965;1,09259259259259
"46";5107;"Quintero";5;"Valparaíso";1,24524312896406;1,29025191675794;1,17097415506958;1,20944558521561
"47";5109;"Viña del Mar";5;"Valparaíso";1,48091091761554;1,62245459548707;1,08608620901388;0,884134759572128
"48";5201;"Isla de Pascua";5;"Valparaíso";0,842592592592593;0,914572864321608;0,684210526315789;0,56875
