"";"cut_comuna";"comuna";"cut_region";"region";"delitos";"delitos_mcs";"delitoc_mcs_p"
"1";1101;"Iquique";1;"Tarapacá";12365;5874;2,10503915560095
"2";1107;"Alto Hospicio";1;"Tarapacá";7001;4054;1,72693635915146
"3";1401;"Pozo Almonte";1;"Tarapacá";1830;607;3,01482701812191
"4";1402;"Camiña";1;"Tarapacá";88;19;4,63157894736842
"5";1403;"Colchane";1;"Tarapacá";107;47;2,27659574468085
"6";1404;"Huara";1;"Tarapacá";230;62;3,70967741935484
"7";1405;"Pica";1;"Tarapacá";568;198;2,86868686868687
"8";2101;"Antofagasta";2;"Antofagasta";22816;9892;2,30651031136272
"9";2102;"Mejillones";2;"Antofagasta";1333;459;2,9041394335512
"10";2103;"Sierra Gorda";2;"Antofagasta";573;124;4,62096774193548
"11";2104;"Taltal";2;"Antofagasta";696;240;2,9
"12";2201;"Calama";2;"Antofagasta";10042;4194;2,39437291368622
"13";2202;"Ollagüe";2;"Antofagasta";13;6;2,16666666666667
"14";2203;"San Pedro de Atacama";2;"Antofagasta";980;266;3,68421052631579
"15";2301;"Tocopilla";2;"Antofagasta";1591;499;3,18837675350701
"16";2302;"María Elena";2;"Antofagasta";614;112;5,48214285714286
"17";3101;"Copiapó";3;"Atacama";9342;3915;2,38620689655172
"18";3102;"Caldera";3;"Atacama";1757;590;2,97796610169492
"19";3103;"Tierra Amarilla";3;"Atacama";1023;345;2,96521739130435
"20";3201;"Chañaral";3;"Atacama";923;336;2,74702380952381
"21";3202;"Diego de Almagro";3;"Atacama";1157;252;4,59126984126984
"22";3301;"Vallenar";3;"Atacama";3364;1275;2,63843137254902
"23";3302;"Alto del Carmen";3;"Atacama";200;54;3,7037037037037
"24";3303;"Freirina";3;"Atacama";421;120;3,50833333333333
"25";3304;"Huasco";3;"Atacama";774;270;2,86666666666667
"26";4101;"La Serena";4;"Coquimbo";14760;6750;2,18666666666667
"27";4102;"Coquimbo";4;"Coquimbo";17242;6560;2,62835365853659
"28";4103;"Andacollo";4;"Coquimbo";808;182;4,43956043956044
"29";4104;"La Higuera";4;"Coquimbo";313;108;2,89814814814815
"30";4105;"Paiguano";4;"Coquimbo";507;99;5,12121212121212
"31";4106;"Vicuña";4;"Coquimbo";2118;673;3,14710252600297
"32";4201;"Illapel";4;"Coquimbo";1482;492;3,01219512195122
"33";4202;"Canela";4;"Coquimbo";291;93;3,12903225806452
"34";4203;"Los Vilos";4;"Coquimbo";1770;597;2,96482412060302
"35";4204;"Salamanca";4;"Coquimbo";1391;492;2,82723577235772
"36";4301;"Ovalle";4;"Coquimbo";6759;2472;2,73422330097087
"37";4302;"Combarbalá";4;"Coquimbo";518;113;4,58407079646018
"38";4303;"Monte Patria";4;"Coquimbo";1469;359;4,09192200557103
"39";4304;"Punitaqui";4;"Coquimbo";466;135;3,45185185185185
"40";4305;"Río Hurtado";4;"Coquimbo";137;55;2,49090909090909
"41";5101;"Valparaíso";5;"Valparaíso";18886;8466;2,23080557524215
"42";5102;"Casablanca";5;"Valparaíso";1794;671;2,67362146050671
"43";5103;"Concón";5;"Valparaíso";2660;1036;2,56756756756757
"44";5104;"Juan Fernández";5;"Valparaíso";105;30;3,5
"45";5105;"Puchuncaví";5;"Valparaíso";2078;944;2,20127118644068
"46";5107;"Quintero";5;"Valparaíso";2739;1178;2,3251273344652
"47";5109;"Viña del Mar";5;"Valparaíso";19649;8844;2,22173224785165
"48";5201;"Isla de Pascua";5;"Valparaíso";556;182;3,05494505494505
"49";5301;"Los Andes";5;"Valparaíso";3916;1516;2,58311345646438
"50";5302;"Calle Larga";5;"Valparaíso";692;282;2,45390070921986
"51";5303;"Rinconada";5;"Valparaíso";587;212;2,7688679245283
"52";5304;"San Esteban";5;"Valparaíso";825;289;2,85467128027682
"53";5401;"La Ligua";5;"Valparaíso";2199;755;2,91258278145695
"54";5402;"Cabildo";5;"Valparaíso";909;256;3,55078125
"55";5403;"Papudo";5;"Valparaíso";347;116;2,99137931034483
"56";5404;"Petorca";5;"Valparaíso";349;101;3,45544554455446
"57";5405;"Zapallar";5;"Valparaíso";585;222;2,63513513513514
"58";5501;"Quillota";5;"Valparaíso";4197;1633;2,57011635027557
"59";5502;"Calera";5;"Valparaíso";2190;874;2,50572082379863
"60";5503;"Hijuelas";5;"Valparaíso";798;273;2,92307692307692
"61";5504;"La Cruz";5;"Valparaíso";671;292;2,29794520547945
"62";5506;"Nogales";5;"Valparaíso";981;292;3,35958904109589
"63";5601;"San Antonio";5;"Valparaíso";5831;2250;2,59155555555556
"64";5602;"Algarrobo";5;"Valparaíso";1290;461;2,79826464208243
"65";5603;"Cartagena";5;"Valparaíso";3352;793;4,22698612862547
"66";5604;"El Quisco";5;"Valparaíso";2006;744;2,69623655913978
"67";5605;"El Tabo";5;"Valparaíso";2035;794;2,56297229219144
"68";5606;"Santo Domingo";5;"Valparaíso";660;208;3,17307692307692
"69";5701;"San Felipe";5;"Valparaíso";4170;1783;2,33875490745934
"70";5702;"Catemu";5;"Valparaíso";616;219;2,81278538812785
"71";5703;"Llaillay";5;"Valparaíso";1322;432;3,06018518518519
"72";5704;"Panquehue";5;"Valparaíso";374;130;2,87692307692308
"73";5705;"Putaendo";5;"Valparaíso";719;250;2,876
"74";5706;"Santa María";5;"Valparaíso";706;271;2,60516605166052
"75";5801;"Quilpué";5;"Valparaíso";7001;3465;2,02049062049062
"76";5802;"Limache";5;"Valparaíso";2306;908;2,53964757709251
"77";5803;"Olmué";5;"Valparaíso";869;255;3,4078431372549
"78";5804;"Villa Alemana";5;"Valparaíso";4511;2067;2,18238993710692
"79";6101;"Rancagua";6;"Libertador Gral. Bernardo O'Higgins";18311;6725;2,72282527881041
"80";6102;"Codegua";6;"Libertador Gral. Bernardo O'Higgins";768;293;2,62116040955631
"81";6103;"Coinco";6;"Libertador Gral. Bernardo O'Higgins";379;116;3,26724137931034
"82";6104;"Coltauco";6;"Libertador Gral. Bernardo O'Higgins";769;231;3,32900432900433
"83";6105;"Doñihue";6;"Libertador Gral. Bernardo O'Higgins";938;326;2,87730061349693
"84";6106;"Graneros";6;"Libertador Gral. Bernardo O'Higgins";2597;912;2,84758771929825
"85";6107;"Las Cabras";6;"Libertador Gral. Bernardo O'Higgins";1529;551;2,77495462794918
"86";6108;"Machalí";6;"Libertador Gral. Bernardo O'Higgins";2642;921;2,8686210640608
"87";6109;"Malloa";6;"Libertador Gral. Bernardo O'Higgins";680;169;4,02366863905325
"88";6110;"Mostazal";6;"Libertador Gral. Bernardo O'Higgins";2051;811;2,52897657213317
"89";6111;"Olivar";6;"Libertador Gral. Bernardo O'Higgins";560;238;2,35294117647059
"90";6112;"Peumo";6;"Libertador Gral. Bernardo O'Higgins";621;219;2,83561643835616
"91";6113;"Pichidegua";6;"Libertador Gral. Bernardo O'Higgins";782;259;3,01930501930502
"92";6114;"Quinta de Tilcoco";6;"Libertador Gral. Bernardo O'Higgins";740;181;4,08839779005525
"93";6115;"Rengo";6;"Libertador Gral. Bernardo O'Higgins";3621;1379;2,62581580855693
"94";6116;"Requínoa";6;"Libertador Gral. Bernardo O'Higgins";1898;492;3,85772357723577
"95";6117;"San Vicente";6;"Libertador Gral. Bernardo O'Higgins";2388;877;2,72291904218928
"96";6201;"Pichilemu";6;"Libertador Gral. Bernardo O'Higgins";1623;661;2,4553706505295
