"";"cut_comuna";"comuna";"cut_region";"region";"delitos"
"1";1101;"Iquique";1;"Tarapacá";12365
"2";1107;"Alto Hospicio";1;"Tarapacá";7001
"3";1401;"Pozo Almonte";1;"Tarapacá";1830
"4";1402;"Camiña";1;"Tarapacá";88
"5";1403;"Colchane";1;"Tarapacá";107
"6";1404;"Huara";1;"Tarapacá";230
"7";1405;"Pica";1;"Tarapacá";568
"8";2101;"Antofagasta";2;"Antofagasta";22816
"9";2102;"Mejillones";2;"Antofagasta";1333
"10";2103;"Sierra Gorda";2;"Antofagasta";573
"11";2104;"Taltal";2;"Antofagasta";696
"12";2201;"Calama";2;"Antofagasta";10042
"13";2202;"Ollagüe";2;"Antofagasta";13
"14";2203;"San Pedro de Atacama";2;"Antofagasta";980
"15";2301;"Tocopilla";2;"Antofagasta";1591
"16";2302;"María Elena";2;"Antofagasta";614
"17";3101;"Copiapó";3;"Atacama";9342
"18";3102;"Caldera";3;"Atacama";1757
"19";3103;"Tierra Amarilla";3;"Atacama";1023
"20";3201;"Chañaral";3;"Atacama";923
"21";3202;"Diego de Almagro";3;"Atacama";1157
"22";3301;"Vallenar";3;"Atacama";3364
"23";3302;"Alto del Carmen";3;"Atacama";200
"24";3303;"Freirina";3;"Atacama";421
"25";3304;"Huasco";3;"Atacama";774
"26";4101;"La Serena";4;"Coquimbo";14760
"27";4102;"Coquimbo";4;"Coquimbo";17242
"28";4103;"Andacollo";4;"Coquimbo";808
"29";4104;"La Higuera";4;"Coquimbo";313
"30";4105;"Paiguano";4;"Coquimbo";507
"31";4106;"Vicuña";4;"Coquimbo";2118
"32";4201;"Illapel";4;"Coquimbo";1482
"33";4202;"Canela";4;"Coquimbo";291
"34";4203;"Los Vilos";4;"Coquimbo";1770
"35";4204;"Salamanca";4;"Coquimbo";1391
"36";4301;"Ovalle";4;"Coquimbo";6759
"37";4302;"Combarbalá";4;"Coquimbo";518
"38";4303;"Monte Patria";4;"Coquimbo";1469
"39";4304;"Punitaqui";4;"Coquimbo";466
"40";4305;"Río Hurtado";4;"Coquimbo";137
"41";5101;"Valparaíso";5;"Valparaíso";18886
"42";5102;"Casablanca";5;"Valparaíso";1794
"43";5103;"Concón";5;"Valparaíso";2660
"44";5104;"Juan Fernández";5;"Valparaíso";105
"45";5105;"Puchuncaví";5;"Valparaíso";2078
"46";5107;"Quintero";5;"Valparaíso";2739
