"";"pais";"año";"estimacion";"cut_comuna";"comuna";"cut_region";"region"
"1";"ALEMANIA";"2022";44;2101;"Antofagasta";2;"Antofagasta"
"2";"ALEMANIA";"2022";19;2201;"Calama";2;"Antofagasta"
"3";"ALEMANIA";"2022";29;15101;"Arica";15;"Arica y Parinacota"
"4";"ALEMANIA";"2022";20;3101;"Copiapó";3;"Atacama"
"5";"ALEMANIA";"2022";139;8101;"Concepción";8;"Biobío"
"6";"ALEMANIA";"2022";31;4102;"Coquimbo";4;"Coquimbo"
"7";"ALEMANIA";"2022";80;4101;"La Serena";4;"Coquimbo"
"8";"ALEMANIA";"2022";119;9101;"Temuco";9;"La Araucanía"
"9";"ALEMANIA";"2022";18;6101;"Rancagua";6;"Libertador Gral. Bernardo O'Higgins"
"10";"ALEMANIA";"2022";57;10101;"Puerto Montt";10;"Los Lagos"
"11";"ALEMANIA";"2022";12;7301;"Curicó";7;"Maule"
"12";"ALEMANIA";"2022";60;7101;"Talca";7;"Maule"
"13";"ALEMANIA";"2022";4;13103;"Cerro Navia";13;"Metropolitana de Santiago"
"14";"ALEMANIA";"2022";93;13301;"Colina";13;"Metropolitana de Santiago"
"15";"ALEMANIA";"2022";8;13104;"Conchalí";13;"Metropolitana de Santiago"
"16";"ALEMANIA";"2022";22;13106;"Estación Central";13;"Metropolitana de Santiago"
"17";"ALEMANIA";"2022";16;13108;"Independencia";13;"Metropolitana de Santiago"
"18";"ALEMANIA";"2022";4;13109;"La Cisterna";13;"Metropolitana de Santiago"
"19";"ALEMANIA";"2022";106;13110;"La Florida";13;"Metropolitana de Santiago"
"20";"ALEMANIA";"2022";819;13114;"Las Condes";13;"Metropolitana de Santiago"
"21";"ALEMANIA";"2022";216;13115;"Lo Barnechea";13;"Metropolitana de Santiago"
"22";"ALEMANIA";"2022";1;13117;"Lo Prado";13;"Metropolitana de Santiago"
"23";"ALEMANIA";"2022";34;13118;"Macul";13;"Metropolitana de Santiago"
"24";"ALEMANIA";"2022";41;13119;"Maipú";13;"Metropolitana de Santiago"
"25";"ALEMANIA";"2022";6;13501;"Melipilla";13;"Metropolitana de Santiago"
"26";"ALEMANIA";"2022";90;13122;"Peñalolén";13;"Metropolitana de Santiago"
"27";"ALEMANIA";"2022";614;13123;"Providencia";13;"Metropolitana de Santiago"
"28";"ALEMANIA";"2022";11;13124;"Pudahuel";13;"Metropolitana de Santiago"
"29";"ALEMANIA";"2022";56;13201;"Puente Alto";13;"Metropolitana de Santiago"
"30";"ALEMANIA";"2022";19;13125;"Quilicura";13;"Metropolitana de Santiago"
"31";"ALEMANIA";"2022";16;13126;"Quinta Normal";13;"Metropolitana de Santiago"
