"";"comuna";"cut_comuna";"region";"cut_region";"año";"pais";"n";"residencia";"estado"
"1";"Algarrobo";5602;"Valparaíso";5;2023;"Argentina";2;"Temporal";"Otorgadas"
"2";"Algarrobo";5602;"Valparaíso";5;2023;"Colombia";3;"Temporal";"Otorgadas"
"3";"Algarrobo";5602;"Valparaíso";5;2023;"Ecuador";2;"Temporal";"Otorgadas"
"4";"Algarrobo";5602;"Valparaíso";5;2023;"Egipto";1;"Temporal";"Otorgadas"
"5";"Algarrobo";5602;"Valparaíso";5;2023;"Perú";1;"Temporal";"Otorgadas"
"6";"Algarrobo";5602;"Valparaíso";5;2023;"Reino Unido";1;"Temporal";"Otorgadas"
"7";"Algarrobo";5602;"Valparaíso";5;2023;"Tailandia";1;"Temporal";"Otorgadas"
"8";"Algarrobo";5602;"Valparaíso";5;2023;"Venezuela";16;"Temporal";"Otorgadas"
"9";"Alhué";13502;"Metropolitana de Santiago";13;2023;"Bolivia";9;"Temporal";"Otorgadas"
"10";"Alhué";13502;"Metropolitana de Santiago";13;2023;"Colombia";1;"Temporal";"Otorgadas"
"11";"Alhué";13502;"Metropolitana de Santiago";13;2023;"Ecuador";1;"Temporal";"Otorgadas"
"12";"Alhué";13502;"Metropolitana de Santiago";13;2023;"Haití";2;"Temporal";"Otorgadas"
"13";"Alhué";13502;"Metropolitana de Santiago";13;2023;"Inglaterra";1;"Temporal";"Otorgadas"
"14";"Alhué";13502;"Metropolitana de Santiago";13;2023;"Perú";3;"Temporal";"Otorgadas"
"15";"Alhué";13502;"Metropolitana de Santiago";13;2023;"República Dominicana";1;"Temporal";"Otorgadas"
"16";"Alhué";13502;"Metropolitana de Santiago";13;2023;"Venezuela";7;"Temporal";"Otorgadas"
"17";"Alto Hospicio";1107;"Tarapacá";1;2023;"Argentina";16;"Temporal";"Otorgadas"
"18";"Alto Hospicio";1107;"Tarapacá";1;2023;"Bolivia";1005;"Temporal";"Otorgadas"
"19";"Alto Hospicio";1107;"Tarapacá";1;2023;"Brasil";2;"Temporal";"Otorgadas"
"20";"Alto Hospicio";1107;"Tarapacá";1;2023;"Colombia";144;"Temporal";"Otorgadas"
"21";"Alto Hospicio";1107;"Tarapacá";1;2023;"Corea del Sur";1;"Temporal";"Otorgadas"
"22";"Alto Hospicio";1107;"Tarapacá";1;2023;"Cuba";7;"Temporal";"Otorgadas"
"23";"Alto Hospicio";1107;"Tarapacá";1;2023;"Ecuador";62;"Temporal";"Otorgadas"
"24";"Alto Hospicio";1107;"Tarapacá";1;2023;"El Salvador";1;"Temporal";"Otorgadas"
"25";"Alto Hospicio";1107;"Tarapacá";1;2023;"España";1;"Temporal";"Otorgadas"
"26";"Alto Hospicio";1107;"Tarapacá";1;2023;"Haití";4;"Temporal";"Otorgadas"
"27";"Alto Hospicio";1107;"Tarapacá";1;2023;"Nicaragua";2;"Temporal";"Otorgadas"
"28";"Alto Hospicio";1107;"Tarapacá";1;2023;"Pakistán";3;"Temporal";"Otorgadas"
"29";"Alto Hospicio";1107;"Tarapacá";1;2023;"Paraguay";5;"Temporal";"Otorgadas"
"30";"Alto Hospicio";1107;"Tarapacá";1;2023;"Perú";169;"Temporal";"Otorgadas"
"31";"Alto Hospicio";1107;"Tarapacá";1;2023;"República Dominicana";3;"Temporal";"Otorgadas"
"32";"Alto Hospicio";1107;"Tarapacá";1;2023;"Rusia";1;"Temporal";"Otorgadas"
"33";"Alto Hospicio";1107;"Tarapacá";1;2023;"Venezuela";65;"Temporal";"Otorgadas"
"34";"Ancud";10202;"Los Lagos";10;2023;"Argentina";3;"Temporal";"Otorgadas"
"35";"Ancud";10202;"Los Lagos";10;2023;"Colombia";5;"Temporal";"Otorgadas"
"36";"Ancud";10202;"Los Lagos";10;2023;"Cuba";2;"Temporal";"Otorgadas"
"37";"Ancud";10202;"Los Lagos";10;2023;"Ecuador";4;"Temporal";"Otorgadas"
"38";"Ancud";10202;"Los Lagos";10;2023;"Paraguay";1;"Temporal";"Otorgadas"
"39";"Ancud";10202;"Los Lagos";10;2023;"República Dominicana";6;"Temporal";"Otorgadas"
"40";"Ancud";10202;"Los Lagos";10;2023;"Venezuela";14;"Temporal";"Otorgadas"
"41";"Andacollo";4103;"Coquimbo";4;2023;"Bolivia";1;"Temporal";"Otorgadas"
"42";"Andacollo";4103;"Coquimbo";4;2023;"Colombia";1;"Temporal";"Otorgadas"
"43";"Angol";9201;"La Araucanía";9;2023;"Argentina";2;"Temporal";"Otorgadas"
"44";"Angol";9201;"La Araucanía";9;2023;"Bolivia";2;"Temporal";"Otorgadas"
"45";"Angol";9201;"La Araucanía";9;2023;"China";2;"Temporal";"Otorgadas"
"46";"Angol";9201;"La Araucanía";9;2023;"Colombia";13;"Temporal";"Otorgadas"
"47";"Angol";9201;"La Araucanía";9;2023;"Ecuador";2;"Temporal";"Otorgadas"
"48";"Angol";9201;"La Araucanía";9;2023;"El Salvador";1;"Temporal";"Otorgadas"
