"";"comuna";"cut_comuna";"año";"variable";"cifra"
"1";"ALTO HOSPICIO";"1107";2018;"Cantidad de jornadas diarias completas de trabajo de médicos, en salud primaria, por cada 10.000 habitantes";32,75
"2";"ALTO HOSPICIO";"1107";2019;"Cantidad de luminarias cada 50 metros lineales de red vial";0,58
"3";"ALTO HOSPICIO";"1107";2019;"Cantidad de residuos eliminados con disposición final per cápita";1,22061801069188
"4";"ALTO HOSPICIO";"1107";2021;"Consumo de energía eléctrica per cápita no residencial";168,223082373122
"5";"ALTO HOSPICIO";"1107";2021;"Consumo de energía eléctrica per cápita residencial";484,296058470373
"6";"ALTO HOSPICIO";"1107";2022;"Densidad de hogares en campamentos";44,9973446627722
"7";"ALTO HOSPICIO";"1107";2018;"Densidad de oferta planificada de transporte público mayor en periodo punta mañana, por persona";3,88
"8";"ALTO HOSPICIO";"1107";2018;"Densidad de oferta planificada de transporte público menor en periodo punta mañana, por persona";6,76
"9";"ALTO HOSPICIO";"1107";2018;"Diferencia entre el valor de suelo más alto y el más bajo entre las áreas homogéneas urbanas definidas por el Servicio de Impuestos Internos";0,01
"10";"ALTO HOSPICIO";"1107";2020;"Distancia a centros de salud primaria";878,06
"11";"ALTO HOSPICIO";"1107";2020;"Distancia a establecimientos de educación básica";578,79
"12";"ALTO HOSPICIO";"1107";2020;"Distancia a establecimientos de educación inicial";395,25
"13";"ALTO HOSPICIO";"1107";2018;"Distancia a paraderos de transporte público mayor";269
"14";"ALTO HOSPICIO";"1107";2019;"Distancia a parques públicos";1846,29669
"15";"ALTO HOSPICIO";"1107";2019;"Distancia a plazas públicas";286,803896
"16";"ALTO HOSPICIO";"1107";2018;"Distancia a una unidad o destacamento destinado al servicio operativo de Carabineros";2110
"17";"ALTO HOSPICIO";"1107";2022;"Indisponibilidad de suministro eléctrico - indicador SAIDI anual";22,46304421
"18";"ALTO HOSPICIO";"1107";2019;"Monto total per cápita, en pesos, de fondos entregados por el municipio a la comunidad vía proyectos concursables para el mejoramiento urbano";0
"19";"ALTO HOSPICIO";"1107";2019;"Número de microbasurales por cada 10.000 habitantes";2,09
"20";"ALTO HOSPICIO";"1107";2021;"Número de víctimas lesionadas en siniestros de tránsito por cada 100.000 habitantes";231,942424581422
"21";"ALTO HOSPICIO";"1107";2021;"Número de víctimas mortales en siniestros de tránsito por cada 100.000 habitantes";9,69534250661894
"22";"ALTO HOSPICIO";"1107";2022;"Participación del Fondo Común Municipal (FCM) en el ingreso municipal total (descontadas las transferencias)";63,9149957572322
"23";"ALTO HOSPICIO";"1107";2019;"Partición modal del transporte público (número de viajes en transporte público respecto al número total de viajes)";26,4
"24";"ALTO HOSPICIO";"1107";2019;"Partición modal del transporte sustentable (suma de viajes en transporte público, caminata y bicicleta respecto al número total de viajes)";71,4
"25";"ALTO HOSPICIO";"1107";2020;"Población estimada de migrantes internacionales por comuna";18516
"26";"ALTO HOSPICIO";"1107";2020;"Porcentaje de  la superficie cubierta por vegetación total";0,34
"27";"ALTO HOSPICIO";"1107";2022;"Porcentaje de aporte de energía eléctrica proveniente de paneles solares domiciliarios";0,119870017326684
"28";"ALTO HOSPICIO";"1107";2021;"Porcentaje de cobertura de la red de ciclovía sobre la red vial";1,46
"29";"ALTO HOSPICIO";"1107";2018;"Porcentaje de inversión pública destinada a proyectos que tienen procesos de intervención de restauración de inmuebles patrimoniales sobre el total de inversión destinada a proyectos con RF";0
"30";"ALTO HOSPICIO";"1107";2019;"Porcentaje de la inversión nacional a escala comunal en la que participa el municipio como institución contratante";8,83
"31";"ALTO HOSPICIO";"1107";2019;"Porcentaje de la población en situación de pobreza multidimensional";27,55
"32";"ALTO HOSPICIO";"1107";2019;"Porcentaje de la población en situación de pobreza por ingresos";7,76
"33";"ALTO HOSPICIO";"1107";2020;"Porcentaje de la superficie cubierta por vegetación densa";0
"34";"ALTO HOSPICIO";"1107";2022;"Porcentaje de la superficie de campamentos respecto del área urbana";6,67443926271375
"35";"ALTO HOSPICIO";"1107";2018;"Porcentaje de manzanas con veredas con buena calidad de pavimento";28,03
"36";"ALTO HOSPICIO";"1107";2022;"Porcentaje de participación en las elecciones municipales por comuna";32,6022868633165
"37";"ALTO HOSPICIO";"1107";2019;"Porcentaje de población atendida por el sistema de parques públicos";82,79
"38";"ALTO HOSPICIO";"1107";2019;"Porcentaje de población atendida por el sistema de plazas públicas";77,13
"39";"ALTO HOSPICIO";"1107";2018;"Porcentaje de población atendida por la red de ciclovías";41,82
"40";"ALTO HOSPICIO";"1107";2019;"Porcentaje de residuos municipales valorizados";0
"41";"ALTO HOSPICIO";"1107";2021;"Porcentaje de viajes originados  inferiores a 5 kilómetros";83,6372064189108
"42";"ALTO HOSPICIO";"1107";2018;"Porcentaje de viviendas con situación de allegamiento externo";3,19
"43";"ALTO HOSPICIO";"1107";2018;"Porcentaje de viviendas en situación de hacinamiento";15,32
"44";"ALTO HOSPICIO";"1107";2018;"Porcentaje de viviendas particulares que requieren mejoras de materialidad y/o servicios básicos";23,23
"45";"ALTO HOSPICIO";"1107";2022;"Porcentaje de votantes de nacionalidad extranjera en las elecciones municipales";4,61007735730713
"46";"ALTO HOSPICIO";"1107";2019;"Promedio de intersecciones relevantes cada 1,44 km²";25,81
"47";"ALTO HOSPICIO";"1107";2019;"Proporción de viajes con una duración mayor o igual a 45 minutos";9,45
"48";"ALTO HOSPICIO";"1107";2019;"Proporción de viajes de estudio y trabajo con una duración mayor o igual a 45 minutos";13,18
"49";"ALTO HOSPICIO";"1107";2019;"Proporción de viajes totales en transporte privado con una duración mayor o igual a 45 minutos";11,53
"50";"ALTO HOSPICIO";"1107";2019;"Proporción de viajes totales en transporte público con una duración mayor o igual a 45 minutos";19,86
"51";"ALTO HOSPICIO";"1107";2020;"Razón entre disponibilidad efectiva de matrículas y demanda potencial por educación básica";1,26
"52";"ALTO HOSPICIO";"1107";2019;"Relación entre el tiempo de viaje en hora punta respecto del tiempo de viaje fuera de hora punta";1,13
"53";"ALTO HOSPICIO";"1107";2018;"Requerimiento de viviendas nuevas urbanas";4978
"54";"ALTO HOSPICIO";"1107";2018;"Superficie de parques públicos por habitante que cumple estándar de distancia (3.000 metros)";1,14
"55";"ALTO HOSPICIO";"1107";2018;"Superficie de plazas públicas por habitante que cumple estándar de distancia (400 metros)";2,87
"56";"ALTO HOSPICIO";"1107";2018;"Superficie de áreas verdes públicas por habitante";3,29
"57";"ALTO HOSPICIO";"1107";2021;"Tasa de conexiones residenciales fijas de internet por cada 1.000 viviendas particulares";442,439932044333
"58";"ALTO HOSPICIO";"1107";2021;"Tasa de conexiones residenciales fijas de internet por cada 100 habitantes";12,2362680389305
"59";"ALTO HOSPICIO";"1107";2022;"Tasa de víctimas de delitos contra la propiedad por casos policiales cada 10.000 habitantes";132,300765683396
"60";"ALTO HOSPICIO";"1107";2022;"Tasa de víctimas de delitos violencia intrafamiliar por casos policiales cada 10.000 habitantes";147,454157347574
"61";"ALTO HOSPICIO";"1107";2022;"Tasa de víctimas de delitos violentos por casos policiales cada 10.000 habitantes";169,819980621143
"62";"ALTO HOSPICIO";"1107";2018;"Tiempo de viaje en hora punta mañana";45
"63";"ALTO HOSPICIO";"1107";2018;"Tiempo de viaje en transporte público en hora punta mañana";60
"64";"ANGOL";"9201";2018;"Cantidad de jornadas diarias completas de trabajo de médicos, en salud primaria, por cada 10.000 habitantes";32,92
"65";"ANGOL";"9201";2022;"Cantidad de residuos eliminados con disposición final per cápita";0,763296713745298
"66";"ANGOL";"9201";2021;"Consumo de energía eléctrica per cápita no residencial";395,153617936009
"67";"ANGOL";"9201";2021;"Consumo de energía eléctrica per cápita residencial";764,738563484873
"68";"ANGOL";"9201";2022;"Densidad de hogares en campamentos";28,0898876404494
"69";"ANGOL";"9201";2018;"Diferencia entre el valor de suelo más alto y el más bajo entre las áreas homogéneas urbanas definidas por el Servicio de Impuestos Internos";0,02
"70";"ANGOL";"9201";2020;"Distancia a centros de salud primaria";1031,82
"71";"ANGOL";"9201";2020;"Distancia a establecimientos de educación básica";775,23
"72";"ANGOL";"9201";2020;"Distancia a establecimientos de educación inicial";372,44
"73";"ANGOL";"9201";2019;"Distancia a parques públicos";1913,042942
"74";"ANGOL";"9201";2019;"Distancia a plazas públicas";341,133747
"75";"ANGOL";"9201";2018;"Distancia a una unidad o destacamento destinado al servicio operativo de Carabineros";2627
"76";"ANGOL";"9201";2022;"Indisponibilidad de suministro eléctrico - indicador SAIDI anual";12,24057798
"77";"ANGOL";"9201";2021;"Número de víctimas lesionadas en siniestros de tránsito por cada 100.000 habitantes";415,711773170602
"78";"ANGOL";"9201";2021;"Número de víctimas mortales en siniestros de tránsito por cada 100.000 habitantes";12,4358222743342
