"";"cut_region";"region";"cut_provincia";"provincia";"cut_comuna";"comuna";"año";"población"
"1";1;"Tarapacá";11;"Iquique";1101;"Iquique";2002;173611
"2";1;"Tarapacá";11;"Iquique";1101;"Iquique";2003;169002
"3";1;"Tarapacá";11;"Iquique";1101;"Iquique";2004;167413
"4";1;"Tarapacá";11;"Iquique";1101;"Iquique";2005;167784
"5";1;"Tarapacá";11;"Iquique";1101;"Iquique";2006;169377
"6";1;"Tarapacá";11;"Iquique";1101;"Iquique";2007;171709
"7";1;"Tarapacá";11;"Iquique";1101;"Iquique";2008;174518
"8";1;"Tarapacá";11;"Iquique";1101;"Iquique";2009;177526
"9";1;"Tarapacá";11;"Iquique";1101;"Iquique";2010;180556
"10";1;"Tarapacá";11;"Iquique";1101;"Iquique";2011;183931
"11";1;"Tarapacá";11;"Iquique";1101;"Iquique";2012;187366
"12";1;"Tarapacá";11;"Iquique";1101;"Iquique";2013;190437
"13";1;"Tarapacá";11;"Iquique";1101;"Iquique";2014;193643
"14";1;"Tarapacá";11;"Iquique";1101;"Iquique";2015;196728
"15";1;"Tarapacá";11;"Iquique";1101;"Iquique";2016;199592
"16";1;"Tarapacá";11;"Iquique";1101;"Iquique";2017;202891
"17";1;"Tarapacá";11;"Iquique";1101;"Iquique";2018;209409
"18";1;"Tarapacá";11;"Iquique";1101;"Iquique";2019;216514
"19";1;"Tarapacá";11;"Iquique";1101;"Iquique";2020;223463
"20";1;"Tarapacá";11;"Iquique";1101;"Iquique";2021;227127
"21";1;"Tarapacá";11;"Iquique";1101;"Iquique";2022;229072
"22";1;"Tarapacá";11;"Iquique";1101;"Iquique";2023;230595
"23";1;"Tarapacá";11;"Iquique";1101;"Iquique";2024;231962
"24";1;"Tarapacá";11;"Iquique";1101;"Iquique";2025;233228
"25";1;"Tarapacá";11;"Iquique";1101;"Iquique";2026;234407
"26";1;"Tarapacá";11;"Iquique";1101;"Iquique";2027;235492
"27";1;"Tarapacá";11;"Iquique";1101;"Iquique";2028;236481
"28";1;"Tarapacá";11;"Iquique";1101;"Iquique";2029;237379
"29";1;"Tarapacá";11;"Iquique";1101;"Iquique";2030;238173
"30";1;"Tarapacá";11;"Iquique";1101;"Iquique";2031;238902
"31";1;"Tarapacá";11;"Iquique";1101;"Iquique";2032;239540
"32";1;"Tarapacá";11;"Iquique";1101;"Iquique";2033;240089
"33";1;"Tarapacá";11;"Iquique";1101;"Iquique";2034;240544
"34";1;"Tarapacá";11;"Iquique";1101;"Iquique";2035;240905
"35";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2002;53625
"36";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2003;63806
"37";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2004;71062
"38";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2005;76126
"39";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2006;79924
"40";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2007;83105
"41";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2008;86042
"42";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2009;88877
"43";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2010;91654
"44";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2011;94617
"45";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2012;97654
"46";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2013;100566
"47";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2014;103622
"48";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2015;106694
"49";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2016;109732
"50";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2017;113098
"51";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2018;118379
"52";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2019;124150
"53";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2020;129999
"54";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2021;134085
"55";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2022;137263
"56";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2023;140282
"57";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2024;143294
"58";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2025;146337
"59";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2026;149416
"60";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2027;152532
"61";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2028;155681
"62";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2029;158866
"63";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2030;162080
"64";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2031;165348
"65";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2032;168655
"66";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2033;171998
"67";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2034;175377
"68";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2035;178792
"69";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2002;9833
"70";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2003;9837
"71";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2004;9999
"72";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2005;10271
"73";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2006;10612
"74";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2007;10998
"75";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2008;11412
"76";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2009;11839
"77";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2010;12267
"78";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2011;12717
"79";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2012;13170
"80";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2013;13595
"81";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2014;14028
"82";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2015;14451
