cut_comuna;comuna;cut_region;region;opciones;votos
1107;Alto Hospicio;1;Tarapacá;APRUEBO;14219
1107;Alto Hospicio;1;Tarapacá;RECHAZO;37299
1107;Alto Hospicio;1;Tarapacá;VOTOS EN BLANCO;274
1107;Alto Hospicio;1;Tarapacá;VOTOS NULOS;977
1402;Camiña;1;Tarapacá;APRUEBO;202
1402;Camiña;1;Tarapacá;RECHAZO;1432
1402;Camiña;1;Tarapacá;VOTOS EN BLANCO;6
1402;Camiña;1;Tarapacá;VOTOS NULOS;15
1403;Colchane;1;Tarapacá;APRUEBO;95
1403;Colchane;1;Tarapacá;RECHAZO;1696
1403;Colchane;1;Tarapacá;VOTOS EN BLANCO;0
1403;Colchane;1;Tarapacá;VOTOS NULOS;26
1404;Huara;1;Tarapacá;APRUEBO;664
1404;Huara;1;Tarapacá;RECHAZO;2243
1404;Huara;1;Tarapacá;VOTOS EN BLANCO;8
1404;Huara;1;Tarapacá;VOTOS NULOS;45
1101;Iquique;1;Tarapacá;APRUEBO;44451
1101;Iquique;1;Tarapacá;RECHAZO;84433
1101;Iquique;1;Tarapacá;VOTOS EN BLANCO;723
1101;Iquique;1;Tarapacá;VOTOS NULOS;2170
1405;Pica;1;Tarapacá;APRUEBO;1519
1405;Pica;1;Tarapacá;RECHAZO;3013
1405;Pica;1;Tarapacá;VOTOS EN BLANCO;31
1405;Pica;1;Tarapacá;VOTOS NULOS;54
1401;Pozo Almonte;1;Tarapacá;APRUEBO;2367
1401;Pozo Almonte;1;Tarapacá;RECHAZO;6704
1401;Pozo Almonte;1;Tarapacá;VOTOS EN BLANCO;33
1401;Pozo Almonte;1;Tarapacá;VOTOS NULOS;128
2101;Antofagasta;2;Antofagasta;APRUEBO;93293
2101;Antofagasta;2;Antofagasta;RECHAZO;144366
2101;Antofagasta;2;Antofagasta;VOTOS EN BLANCO;1497
2101;Antofagasta;2;Antofagasta;VOTOS NULOS;4348
2201;Calama;2;Antofagasta;APRUEBO;29751
2201;Calama;2;Antofagasta;RECHAZO;72479
2201;Calama;2;Antofagasta;VOTOS EN BLANCO;521
2201;Calama;2;Antofagasta;VOTOS NULOS;1996
2302;María Elena;2;Antofagasta;APRUEBO;1399
2302;María Elena;2;Antofagasta;RECHAZO;2026
2302;María Elena;2;Antofagasta;VOTOS EN BLANCO;23
2302;María Elena;2;Antofagasta;VOTOS NULOS;85
2102;Mejillones;2;Antofagasta;APRUEBO;3430
2102;Mejillones;2;Antofagasta;RECHAZO;4823
2102;Mejillones;2;Antofagasta;VOTOS EN BLANCO;53
2102;Mejillones;2;Antofagasta;VOTOS NULOS;146
2202;Ollagüe;2;Antofagasta;APRUEBO;197
2202;Ollagüe;2;Antofagasta;RECHAZO;707
2202;Ollagüe;2;Antofagasta;VOTOS EN BLANCO;9
2202;Ollagüe;2;Antofagasta;VOTOS NULOS;10
2203;San Pedro de Atacama;2;Antofagasta;APRUEBO;2681
2203;San Pedro de Atacama;2;Antofagasta;RECHAZO;3211
2203;San Pedro de Atacama;2;Antofagasta;VOTOS EN BLANCO;32
2203;San Pedro de Atacama;2;Antofagasta;VOTOS NULOS;108
2103;Sierra Gorda;2;Antofagasta;APRUEBO;501
2103;Sierra Gorda;2;Antofagasta;RECHAZO;1029
2103;Sierra Gorda;2;Antofagasta;VOTOS EN BLANCO;5
2103;Sierra Gorda;2;Antofagasta;VOTOS NULOS;18
2104;Taltal;2;Antofagasta;APRUEBO;3361
2104;Taltal;2;Antofagasta;RECHAZO;4530
2104;Taltal;2;Antofagasta;VOTOS EN BLANCO;60
2104;Taltal;2;Antofagasta;VOTOS NULOS;120
2301;Tocopilla;2;Antofagasta;APRUEBO;6787
2301;Tocopilla;2;Antofagasta;RECHAZO;10094
2301;Tocopilla;2;Antofagasta;VOTOS EN BLANCO;95
2301;Tocopilla;2;Antofagasta;VOTOS NULOS;376
3302;Alto del Carmen;3;Atacama;APRUEBO;1324
3302;Alto del Carmen;3;Atacama;RECHAZO;2679
3302;Alto del Carmen;3;Atacama;VOTOS EN BLANCO;32
3302;Alto del Carmen;3;Atacama;VOTOS NULOS;69
3102;Caldera;3;Atacama;APRUEBO;5993
3102;Caldera;3;Atacama;RECHAZO;7000
3102;Caldera;3;Atacama;VOTOS EN BLANCO;104
3102;Caldera;3;Atacama;VOTOS NULOS;190
3201;Chañaral;3;Atacama;APRUEBO;4477
3201;Chañaral;3;Atacama;RECHAZO;4730
3201;Chañaral;3;Atacama;VOTOS EN BLANCO;67
3201;Chañaral;3;Atacama;VOTOS NULOS;154
3101;Copiapó;3;Atacama;APRUEBO;41033
3101;Copiapó;3;Atacama;RECHAZO;63634
3101;Copiapó;3;Atacama;VOTOS EN BLANCO;680
3101;Copiapó;3;Atacama;VOTOS NULOS;1649
3202;Diego de Almagro;3;Atacama;APRUEBO;4012
3202;Diego de Almagro;3;Atacama;RECHAZO;4510
3202;Diego de Almagro;3;Atacama;VOTOS EN BLANCO;65
3202;Diego de Almagro;3;Atacama;VOTOS NULOS;175
3303;Freirina;3;Atacama;APRUEBO;2244
3303;Freirina;3;Atacama;RECHAZO;2803
3303;Freirina;3;Atacama;VOTOS EN BLANCO;55
3303;Freirina;3;Atacama;VOTOS NULOS;78
3304;Huasco;3;Atacama;APRUEBO;3367
3304;Huasco;3;Atacama;RECHAZO;3659
3304;Huasco;3;Atacama;VOTOS EN BLANCO;61
3304;Huasco;3;Atacama;VOTOS NULOS;112
3103;Tierra Amarilla;3;Atacama;APRUEBO;3542
3103;Tierra Amarilla;3;Atacama;RECHAZO;6829
3103;Tierra Amarilla;3;Atacama;VOTOS EN BLANCO;72
3103;Tierra Amarilla;3;Atacama;VOTOS NULOS;213
3301;Vallenar;3;Atacama;APRUEBO;14794
3301;Vallenar;3;Atacama;RECHAZO;23189
