"";"cut_comuna";"comuna";"cut_region";"region";"delitos_mcs"
"1";1101;"Iquique";1;"Tarapacá";5874
"2";1107;"Alto Hospicio";1;"Tarapacá";4054
"3";1401;"Pozo Almonte";1;"Tarapacá";607
"4";1402;"Camiña";1;"Tarapacá";19
"5";1403;"Colchane";1;"Tarapacá";47
"6";1404;"Huara";1;"Tarapacá";62
"7";1405;"Pica";1;"Tarapacá";198
"8";2101;"Antofagasta";2;"Antofagasta";9892
"9";2102;"Mejillones";2;"Antofagasta";459
"10";2103;"Sierra Gorda";2;"Antofagasta";124
"11";2104;"Taltal";2;"Antofagasta";240
"12";2201;"Calama";2;"Antofagasta";4194
"13";2202;"Ollagüe";2;"Antofagasta";6
"14";2203;"San Pedro de Atacama";2;"Antofagasta";266
"15";2301;"Tocopilla";2;"Antofagasta";499
"16";2302;"María Elena";2;"Antofagasta";112
"17";3101;"Copiapó";3;"Atacama";3915
"18";3102;"Caldera";3;"Atacama";590
"19";3103;"Tierra Amarilla";3;"Atacama";345
"20";3201;"Chañaral";3;"Atacama";336
"21";3202;"Diego de Almagro";3;"Atacama";252
"22";3301;"Vallenar";3;"Atacama";1275
"23";3302;"Alto del Carmen";3;"Atacama";54
"24";3303;"Freirina";3;"Atacama";120
"25";3304;"Huasco";3;"Atacama";270
"26";4101;"La Serena";4;"Coquimbo";6750
"27";4102;"Coquimbo";4;"Coquimbo";6560
"28";4103;"Andacollo";4;"Coquimbo";182
"29";4104;"La Higuera";4;"Coquimbo";108
"30";4105;"Paiguano";4;"Coquimbo";99
"31";4106;"Vicuña";4;"Coquimbo";673
"32";4201;"Illapel";4;"Coquimbo";492
"33";4202;"Canela";4;"Coquimbo";93
"34";4203;"Los Vilos";4;"Coquimbo";597
"35";4204;"Salamanca";4;"Coquimbo";492
"36";4301;"Ovalle";4;"Coquimbo";2472
"37";4302;"Combarbalá";4;"Coquimbo";113
"38";4303;"Monte Patria";4;"Coquimbo";359
"39";4304;"Punitaqui";4;"Coquimbo";135
"40";4305;"Río Hurtado";4;"Coquimbo";55
"41";5101;"Valparaíso";5;"Valparaíso";8466
"42";5102;"Casablanca";5;"Valparaíso";671
"43";5103;"Concón";5;"Valparaíso";1036
"44";5104;"Juan Fernández";5;"Valparaíso";30
"45";5105;"Puchuncaví";5;"Valparaíso";944
"46";5107;"Quintero";5;"Valparaíso";1178
"47";5109;"Viña del Mar";5;"Valparaíso";8844
"48";5201;"Isla de Pascua";5;"Valparaíso";182
"49";5301;"Los Andes";5;"Valparaíso";1516
"50";5302;"Calle Larga";5;"Valparaíso";282
"51";5303;"Rinconada";5;"Valparaíso";212
"52";5304;"San Esteban";5;"Valparaíso";289
"53";5401;"La Ligua";5;"Valparaíso";755
"54";5402;"Cabildo";5;"Valparaíso";256
"55";5403;"Papudo";5;"Valparaíso";116
"56";5404;"Petorca";5;"Valparaíso";101
"57";5405;"Zapallar";5;"Valparaíso";222
"58";5501;"Quillota";5;"Valparaíso";1633
"59";5502;"Calera";5;"Valparaíso";874
"60";5503;"Hijuelas";5;"Valparaíso";273
"61";5504;"La Cruz";5;"Valparaíso";292
"62";5506;"Nogales";5;"Valparaíso";292
"63";5601;"San Antonio";5;"Valparaíso";2250
"64";5602;"Algarrobo";5;"Valparaíso";461
"65";5603;"Cartagena";5;"Valparaíso";793
"66";5604;"El Quisco";5;"Valparaíso";744
"67";5605;"El Tabo";5;"Valparaíso";794
