"";"cut_comuna";"comuna";"año";"delitos_mcs";"poblacion";"tasa"
"1";1101;"Iquique";2023;5874;230595;25
"2";1107;"Alto Hospicio";2023;4054;140282;28
"3";1401;"Pozo Almonte";2023;607;18452;32
"4";1402;"Camiña";2023;19;1379;13
"5";1403;"Colchane";2023;47;1569;29
"6";1404;"Huara";2023;62;3080;20
"7";1405;"Pica";2023;198;6231;31
"8";2101;"Antofagasta";2023;9892;441211;22
"9";2102;"Mejillones";2023;459;15659;29
"10";2103;"Sierra Gorda";2023;124;1792;69
"11";2104;"Taltal";2023;240;13929;17
"12";2201;"Calama";2023;4194;195423;21
"13";2202;"Ollagüe";2023;6;274;21
"14";2203;"San Pedro de Atacama";2023;266;10929;24
"15";2301;"Tocopilla";2023;499;28333;17
"16";2302;"María Elena";2023;112;6592;16
"17";3101;"Copiapó";2023;3915;175240;22
"18";3102;"Caldera";2023;590;19860;29
"19";3103;"Tierra Amarilla";2023;345;14419;23
"20";3201;"Chañaral";2023;336;13062;25
"21";3202;"Diego de Almagro";2023;252;14019;17
"22";3301;"Vallenar";2023;1275;57338;22
"23";3302;"Alto del Carmen";2023;54;5775;9
"24";3303;"Freirina";2023;120;7810;15
"25";3304;"Huasco";2023;270;11525;23
"26";4101;"La Serena";2023;6750;263144;25
"27";4102;"Coquimbo";2023;6560;271095;24
"28";4103;"Andacollo";2023;182;11833;15
"29";4104;"La Higuera";2023;108;4517;23
"30";4105;"Paiguano";2023;99;4705;21
"31";4106;"Vicuña";2023;673;30370;22
"32";4201;"Illapel";2023;492;32987;14
"33";4202;"Canela";2023;93;9524;9
"34";4203;"Los Vilos";2023;597;24170;24
"35";4204;"Salamanca";2023;492;29743;16
"36";4301;"Ovalle";2023;2472;123724;19
"37";4302;"Combarbalá";2023;113;13870;8
"38";4303;"Monte Patria";2023;359;32657;10
"39";4304;"Punitaqui";2023;135;12438;10
"40";4305;"Río Hurtado";2023;55;4326;12
"41";5101;"Valparaíso";2023;8466;319745;26
"42";5102;"Casablanca";2023;671;30212;22
"43";5103;"Concón";2023;1036;47642;21
"44";5104;"Juan Fernández";2023;30;1087;27
"45";5105;"Puchuncaví";2023;944;20959;45
"46";5107;"Quintero";2023;1178;38040;30
"47";5109;"Viña del Mar";2023;8844;369303;23
"48";5201;"Isla de Pascua";2023;182;8743;20
"49";5301;"Los Andes";2023;1516;68788;22
"50";5302;"Calle Larga";2023;282;17388;16
"51";5303;"Rinconada";2023;212;11847;17
"52";5304;"San Esteban";2023;289;21493;13
"53";5401;"La Ligua";2023;755;38259;19
"54";5402;"Cabildo";2023;256;20748;12
"55";5403;"Papudo";2023;116;6385;18
"56";5404;"Petorca";2023;101;10615;9
"57";5405;"Zapallar";2023;222;8281;26
"58";5501;"Quillota";2023;1633;100196;16
"59";5502;"Calera";2023;874;53855;16
"60";5503;"Hijuelas";2023;273;19389;14
"61";5504;"La Cruz";2023;292;27279;10
"62";5506;"Nogales";2023;292;23621;12
"63";5601;"San Antonio";2023;2250;98169;22
"64";5602;"Algarrobo";2023;461;15886;29
"65";5603;"Cartagena";2023;793;26652;29
"66";5604;"El Quisco";2023;744;18593;40
"67";5605;"El Tabo";2023;794;15006;52
"68";5606;"Santo Domingo";2023;208;12456;16
"69";5701;"San Felipe";2023;1783;86062;20
"70";5702;"Catemu";2023;219;15600;14
"71";5703;"Llaillay";2023;432;27119;15
"72";5704;"Panquehue";2023;130;7794;16
"73";5705;"Putaendo";2023;250;17945;13
"74";5706;"Santa María";2023;271;16827;16
"75";5801;"Quilpué";2023;3465;172073;20
"76";5802;"Limache";2023;908;51289;17
"77";5803;"Olmué";2023;255;20013;12
"78";5804;"Villa Alemana";2023;2067;145490;14
"79";6101;"Rancagua";2023;6725;272290;24
"80";6102;"Codegua";2023;293;14504;20
"81";6103;"Coinco";2023;116;7983;14
"82";6104;"Coltauco";2023;231;21936;10
"83";6105;"Doñihue";2023;326;23425;13
"84";6106;"Graneros";2023;912;37793;24
"85";6107;"Las Cabras";2023;551;27520;20
"86";6108;"Machalí";2023;921;63642;14
"87";6109;"Malloa";2023;169;14274;11
"88";6110;"Mostazal";2023;811;28295;28
"89";6111;"Olivar";2023;238;14919;15
"90";6112;"Peumo";2023;219;15018;14
"91";6113;"Pichidegua";2023;259;21009;12
"92";6114;"Quinta de Tilcoco";2023;181;14194;12
"93";6115;"Rengo";2023;1379;65318;21
"94";6116;"Requínoa";2023;492;31410;15
"95";6117;"San Vicente";2023;877;51910;16
"96";6201;"Pichilemu";2023;661;18587;35
"97";6202;"La Estrella";2023;73;3103;23
"98";6203;"Litueche";2023;129;6909;18
"99";6204;"Marchihue";2023;95;7699;12
"100";6205;"Navidad";2023;137;7081;19
"101";6206;"Paredones";2023;124;6284;19
"102";6301;"San Fernando";2023;2184;80547;27
"103";6302;"Chépica";2023;221;16106;13
"104";6303;"Chimbarongo";2023;701;38288;18
"105";6304;"Lolol";2023;88;7420;11
"106";6305;"Nancagua";2023;443;19589;22
"107";6306;"Palmilla";2023;182;13534;13
"108";6307;"Peralillo";2023;198;12100;16
"109";6308;"Placilla";2023;146;9259;15
"110";6309;"Pumanque";2023;85;3520;24
"111";6310;"Santa Cruz";2023;896;42235;21
"112";7101;"Talca";2023;5955;241064;24
"113";7102;"Constitución";2023;847;50601;16
"114";7103;"Curepto";2023;89;9209;9
"115";7104;"Empedrado";2023;28;4185;6
"116";7105;"Maule";2023;942;66867;14
"117";7106;"Pelarco";2023;112;9331;12
"118";7107;"Pencahue";2023;109;8625;12
"119";7108;"Río Claro";2023;173;15042;11
"120";7109;"San Clemente";2023;850;47590;17
"121";7110;"San Rafael";2023;191;10294;18
"122";7201;"Cauquenes";2023;525;44389;11
"123";7202;"Chanco";2023;85;9278;9
"124";7203;"Pelluhue";2023;192;8361;22
"125";7301;"Curicó";2023;4966;169681;29
"126";7302;"Hualañé";2023;150;10230;14
"127";7303;"Licantén";2023;137;6989;19
"128";7304;"Molina";2023;1218;51539;23
"129";7305;"Rauco";2023;161;11632;13
"130";7306;"Romeral";2023;303;16742;18
"131";7307;"Sagrada Familia";2023;253;19692;12
"132";7308;"Teno";2023;597;31639;18
"133";7309;"Vichuquén";2023;73;4329;16
"134";7401;"Linares";2023;2112;103303;20
"135";7402;"Colbún";2023;339;23262;14
"136";7403;"Longaví";2023;517;33467;15
"137";7404;"Parral";2023;959;45347;21
"138";7405;"Retiro";2023;267;21397;12
"139";7406;"San Javier";2023;950;50985;18
"140";7407;"Villa Alegre";2023;271;17913;15
"141";7408;"Yerbas Buenas";2023;244;19658;12
"142";8101;"Concepción";2023;7050;239443;29
"143";8102;"Coronel";2023;2294;128253;17
"144";8103;"Chiguayante";2023;1214;91805;13
"145";8104;"Florida";2023;236;11868;19
"146";8105;"Hualqui";2023;428;26632;16
"147";8106;"Lota";2023;818;45490;17
"148";8107;"Penco";2023;908;50125;18
"149";8108;"San Pedro de la Paz";2023;2622;151833;17
"150";8109;"Santa Juana";2023;265;14870;17
"151";8110;"Talcahuano";2023;3517;158222;22
"152";8111;"Tomé";2023;1133;59069;19
"153";8112;"Hualpén";2023;2088;97902;21
"154";8201;"Lebu";2023;421;27146;15
"155";8202;"Arauco";2023;616;38890;15
"156";8203;"Cañete";2023;657;37349;17
"157";8204;"Contulmo";2023;83;6351;13
"158";8205;"Curanilahue";2023;508;33938;14
"159";8206;"Los Alamos";2023;357;22856;15
"160";8207;"Tirúa";2023;164;11088;14
"161";8301;"Los Angeles";2023;5684;222593;25
"162";8302;"Antuco";2023;61;4322;14
"163";8303;"Cabrero";2023;589;31023;18
"164";8304;"Laja";2023;472;23913;19
"165";8305;"Mulchén";2023;614;31109;19
"166";8306;"Nacimiento";2023;440;28016;15
"167";8307;"Negrete";2023;193;10539;18
"168";8308;"Quilaco";2023;49;4187;11
"169";8309;"Quilleco";2023;117;10000;11
"170";8310;"San Rosendo";2023;91;3565;25
"171";8311;"Santa Bárbara";2023;208;14657;14
"172";8312;"Tucapel";2023;269;15379;17
"173";8313;"Yumbel";2023;613;22194;27
"174";8314;"Alto Biobío";2023;90;6803;13
"175";9101;"Temuco";2023;7603;308175;24
"176";9102;"Carahue";2023;294;25514;11
