"";"cut_comuna";"comuna";"año";"delitos";"poblacion";"tasa"
"1";1101;"Iquique";2023;12365;230595;53
"2";1107;"Alto Hospicio";2023;7001;140282;49
"3";1401;"Pozo Almonte";2023;1830;18452;99
"4";1402;"Camiña";2023;88;1379;63
"5";1403;"Colchane";2023;107;1569;68
"6";1404;"Huara";2023;230;3080;74
"7";1405;"Pica";2023;568;6231;91
"8";2101;"Antofagasta";2023;22816;441211;51
"9";2102;"Mejillones";2023;1333;15659;85
"10";2103;"Sierra Gorda";2023;573;1792;319
"11";2104;"Taltal";2023;696;13929;49
"12";2201;"Calama";2023;10042;195423;51
"13";2202;"Ollagüe";2023;13;274;47
"14";2203;"San Pedro de Atacama";2023;980;10929;89
"15";2301;"Tocopilla";2023;1591;28333;56
"16";2302;"María Elena";2023;614;6592;93
"17";3101;"Copiapó";2023;9342;175240;53
"18";3102;"Caldera";2023;1757;19860;88
"19";3103;"Tierra Amarilla";2023;1023;14419;70
"20";3201;"Chañaral";2023;923;13062;70
"21";3202;"Diego de Almagro";2023;1157;14019;82
"22";3301;"Vallenar";2023;3364;57338;58
"23";3302;"Alto del Carmen";2023;200;5775;34
"24";3303;"Freirina";2023;421;7810;53
"25";3304;"Huasco";2023;774;11525;67
"26";4101;"La Serena";2023;14760;263144;56
"27";4102;"Coquimbo";2023;17242;271095;63
"28";4103;"Andacollo";2023;808;11833;68
"29";4104;"La Higuera";2023;313;4517;69
"30";4105;"Paiguano";2023;507;4705;107
"31";4106;"Vicuña";2023;2118;30370;69
"32";4201;"Illapel";2023;1482;32987;44
"33";4202;"Canela";2023;291;9524;30
"34";4203;"Los Vilos";2023;1770;24170;73
"35";4204;"Salamanca";2023;1391;29743;46
"36";4301;"Ovalle";2023;6759;123724;54
"37";4302;"Combarbalá";2023;518;13870;37
"38";4303;"Monte Patria";2023;1469;32657;44
"39";4304;"Punitaqui";2023;466;12438;37
"40";4305;"Río Hurtado";2023;137;4326;31
"41";5101;"Valparaíso";2023;18886;319745;59
"42";5102;"Casablanca";2023;1794;30212;59
"43";5103;"Concón";2023;2660;47642;55
"44";5104;"Juan Fernández";2023;105;1087;96
"45";5105;"Puchuncaví";2023;2078;20959;99
"46";5107;"Quintero";2023;2739;38040;72
"47";5109;"Viña del Mar";2023;19649;369303;53
"48";5201;"Isla de Pascua";2023;556;8743;63
"49";5301;"Los Andes";2023;3916;68788;56
"50";5302;"Calle Larga";2023;692;17388;39
"51";5303;"Rinconada";2023;587;11847;49
"52";5304;"San Esteban";2023;825;21493;38
"53";5401;"La Ligua";2023;2199;38259;57
"54";5402;"Cabildo";2023;909;20748;43
"55";5403;"Papudo";2023;347;6385;54
"56";5404;"Petorca";2023;349;10615;32
"57";5405;"Zapallar";2023;585;8281;70
"58";5501;"Quillota";2023;4197;100196;41
"59";5502;"Calera";2023;2190;53855;40
"60";5503;"Hijuelas";2023;798;19389;41
"61";5504;"La Cruz";2023;671;27279;24
"62";5506;"Nogales";2023;981;23621;41
"63";5601;"San Antonio";2023;5831;98169;59
"64";5602;"Algarrobo";2023;1290;15886;81
"65";5603;"Cartagena";2023;3352;26652;125
"66";5604;"El Quisco";2023;2006;18593;107
"67";5605;"El Tabo";2023;2035;15006;135
"68";5606;"Santo Domingo";2023;660;12456;52
"69";5701;"San Felipe";2023;4170;86062;48
"70";5702;"Catemu";2023;616;15600;39
"71";5703;"Llaillay";2023;1322;27119;48
"72";5704;"Panquehue";2023;374;7794;47
"73";5705;"Putaendo";2023;719;17945;40
"74";5706;"Santa María";2023;706;16827;41
"75";5801;"Quilpué";2023;7001;172073;40
"76";5802;"Limache";2023;2306;51289;44
"77";5803;"Olmué";2023;869;20013;43
"78";5804;"Villa Alemana";2023;4511;145490;31
"79";6101;"Rancagua";2023;18311;272290;67
"80";6102;"Codegua";2023;768;14504;52
"81";6103;"Coinco";2023;379;7983;47
"82";6104;"Coltauco";2023;769;21936;35
"83";6105;"Doñihue";2023;938;23425;40
"84";6106;"Graneros";2023;2597;37793;68
"85";6107;"Las Cabras";2023;1529;27520;55
"86";6108;"Machalí";2023;2642;63642;41
"87";6109;"Malloa";2023;680;14274;47
"88";6110;"Mostazal";2023;2051;28295;72
"89";6111;"Olivar";2023;560;14919;37
"90";6112;"Peumo";2023;621;15018;41
"91";6113;"Pichidegua";2023;782;21009;37
"92";6114;"Quinta de Tilcoco";2023;740;14194;52
"93";6115;"Rengo";2023;3621;65318;55
"94";6116;"Requínoa";2023;1898;31410;60
"95";6117;"San Vicente";2023;2388;51910;46
"96";6201;"Pichilemu";2023;1623;18587;87
"97";6202;"La Estrella";2023;244;3103;78
"98";6203;"Litueche";2023;458;6909;66
"99";6204;"Marchihue";2023;296;7699;38
"100";6205;"Navidad";2023;527;7081;74
"101";6206;"Paredones";2023;332;6284;52
"102";6301;"San Fernando";2023;4579;80547;56
"103";6302;"Chépica";2023;664;16106;41
"104";6303;"Chimbarongo";2023;1975;38288;51
"105";6304;"Lolol";2023;268;7420;36
"106";6305;"Nancagua";2023;865;19589;44
"107";6306;"Palmilla";2023;530;13534;39
"108";6307;"Peralillo";2023;620;12100;51
"109";6308;"Placilla";2023;411;9259;44
"110";6309;"Pumanque";2023;232;3520;65
"111";6310;"Santa Cruz";2023;2350;42235;55
"112";7101;"Talca";2023;12941;241064;53
"113";7102;"Constitución";2023;2557;50601;50
"114";7103;"Curepto";2023;286;9209;31
"115";7104;"Empedrado";2023;160;4185;38
"116";7105;"Maule";2023;2220;66867;33
"117";7106;"Pelarco";2023;372;9331;39
"118";7107;"Pencahue";2023;477;8625;55
"119";7108;"Río Claro";2023;591;15042;39
"120";7109;"San Clemente";2023;2299;47590;48
"121";7110;"San Rafael";2023;558;10294;54
"122";7201;"Cauquenes";2023;1981;44389;44
"123";7202;"Chanco";2023;263;9278;28
"124";7203;"Pelluhue";2023;674;8361;80
"125";7301;"Curicó";2023;10322;169681;60
"126";7302;"Hualañé";2023;532;10230;52
"127";7303;"Licantén";2023;542;6989;77
"128";7304;"Molina";2023;2832;51539;54
"129";7305;"Rauco";2023;406;11632;34
"130";7306;"Romeral";2023;964;16742;57
"131";7307;"Sagrada Familia";2023;781;19692;39
"132";7308;"Teno";2023;1638;31639;51
"133";7309;"Vichuquén";2023;274;4329;63
"134";7401;"Linares";2023;5095;103303;49
"135";7402;"Colbún";2023;773;23262;33
"136";7403;"Longaví";2023;1352;33467;40
"137";7404;"Parral";2023;2304;45347;50
"138";7405;"Retiro";2023;874;21397;40
"139";7406;"San Javier";2023;2390;50985;46
"140";7407;"Villa Alegre";2023;829;17913;46
"141";7408;"Yerbas Buenas";2023;651;19658;33
"142";8101;"Concepción";2023;16820;239443;70
"143";8102;"Coronel";2023;4796;128253;37
"144";8103;"Chiguayante";2023;2557;91805;27
"145";8104;"Florida";2023;556;11868;46
"146";8105;"Hualqui";2023;1116;26632;41
"147";8106;"Lota";2023;2080;45490;45
"148";8107;"Penco";2023;2189;50125;43
"149";8108;"San Pedro de la Paz";2023;5311;151833;34
"150";8109;"Santa Juana";2023;758;14870;50
"151";8110;"Talcahuano";2023;7447;158222;47
"152";8111;"Tomé";2023;2931;59069;49
"153";8112;"Hualpén";2023;4042;97902;41
"154";8201;"Lebu";2023;4199;27146;154
"155";8202;"Arauco";2023;2330;38890;59
"156";8203;"Cañete";2023;1748;37349;46
"157";8204;"Contulmo";2023;278;6351;43
"158";8205;"Curanilahue";2023;1293;33938;38
"159";8206;"Los Alamos";2023;1339;22856;58
"160";8207;"Tirúa";2023;509;11088;45
"161";8301;"Los Angeles";2023;12011;222593;53
"162";8302;"Antuco";2023;181;4322;41
"163";8303;"Cabrero";2023;2215;31023;71
"164";8304;"Laja";2023;1170;23913;48
"165";8305;"Mulchén";2023;2120;31109;68
"166";8306;"Nacimiento";2023;1151;28016;41
"167";8307;"Negrete";2023;603;10539;57
"168";8308;"Quilaco";2023;189;4187;45
"169";8309;"Quilleco";2023;351;10000;35
"170";8310;"San Rosendo";2023;240;3565;67
"171";8311;"Santa Bárbara";2023;735;14657;50
"172";8312;"Tucapel";2023;815;15379;52
"173";8313;"Yumbel";2023;1541;22194;69
"174";8314;"Alto Biobío";2023;303;6803;44
"175";9101;"Temuco";2023;19580;308175;63
"176";9102;"Carahue";2023;999;25514;39
"177";9103;"Cunco";2023;877;18067;48
"178";9104;"Curarrehue";2023;454;7860;57
"179";9105;"Freire";2023;1507;25487;59
"180";9106;"Galvarino";2023;631;12588;50
"181";9107;"Gorbea";2023;731;15098;48
"182";9108;"Lautaro";2023;2337;41624;56
"183";9109;"Loncoche";2023;1621;24784;65
"184";9110;"Melipeuco";2023;293;6309;46
"185";9111;"Nueva Imperial";2023;1855;34077;54
"186";9112;"Padre Las Casas";2023;2826;84619;33
"187";9113;"Perquenco";2023;344;7262;47
"188";9114;"Pitrufquén";2023;1442;26499;54
"189";9115;"Pucón";2023;2887;30508;94
"190";9116;"Saavedra";2023;642;12693;50
"191";9117;"Teodoro Schmidt";2023;759;15759;48
"192";9118;"Toltén";2023;431;9966;43
"193";9119;"Vilcún";2023;1330;32238;41
"194";9120;"Villarrica";2023;3699;60327;61
"195";9121;"Cholchol";2023;523;12578;41
"196";9201;"Angol";2023;2087;56644;36
"197";9202;"Collipulli";2023;1373;26468;51
"198";9203;"Curacautín";2023;760;18210;41
"199";9204;"Ercilla";2023;441;8405;52
"200";9205;"Lonquimay";2023;491;11101;44
"201";9206;"Los Sauces";2023;372;7484;49
"202";9207;"Lumaco";2023;436;9947;43
"203";9208;"Purén";2023;495;12118;40
"204";9209;"Renaico";2023;556;10964;50
"205";9210;"Traiguén";2023;935;19287;48
"206";9211;"Victoria";2023;1805;35541;50
"207";10101;"Puerto Montt";2023;22862;278255;82
"208";10102;"Calbuco";2023;2236;37429;59
"209";10103;"Cochamó";2023;196;3960;49
"210";10104;"Fresia";2023;917;12593;72
"211";10105;"Frutillar";2023;1219;20678;58
"212";10106;"Los Muermos";2023;786;17831;44
"213";10107;"Llanquihue";2023;1425;18811;75
"214";10108;"Maullín";2023;836;14775;56
"215";10109;"Puerto Varas";2023;2621;50669;51
"216";10201;"Castro";2023;3281;48482;67
"217";10202;"Ancud";2023;2009;42516;47
"218";10203;"Chonchi";2023;777;16213;47
"219";10204;"Curaco de Vélez";2023;101;4120;24
"220";10205;"Dalcahue";2023;718;15368;46
"221";10206;"Puqueldón";2023;148;4191;35
"222";10207;"Queilén";2023;279;5543;50
"223";10208;"Quellón";2023;1843;29942;61
"224";10209;"Quemchi";2023;250;8760;28
"225";10210;"Quinchao";2023;331;8212;40
"226";10301;"Osorno";2023;10509;175670;59
"227";10302;"Puerto Octay";2023;480;9089;52
"228";10303;"Purranque";2023;1017;20998;48
"229";10304;"Puyehue";2023;637;11813;53
"230";10305;"Río Negro";2023;665;14133;47
"231";10306;"San Juan de la Costa";2023;533;7482;71
"232";10307;"San Pablo";2023;514;10543;48
"233";10401;"Chaitén";2023;221;5061;43
"234";10402;"Futaleufú";2023;146;2889;50
"235";10403;"Hualaihué";2023;579;9579;60
"236";10404;"Palena";2023;67;1824;36
"237";11101;"Coihaique";2023;2506;61885;40
"238";11102;"Lago Verde";2023;54;915;59
"239";11201;"Aisén";2023;1551;25180;61
"240";11202;"Cisnes";2023;376;5865;64
"241";11203;"Guaitecas";2023;250;1608;155
"242";11301;"Cochrane";2023;376;3731;100
"243";11302;"O'Higgins";2023;20;672;29
"244";11303;"Tortel";2023;39;582;67
"245";11401;"Chile Chico";2023;437;5157;84
"246";11402;"Río Ibáñez";2023;147;2711;54
"247";12101;"Punta Arenas";2023;3656;144938;25
"248";12102;"Laguna Blanca";2023;12;252;47
"249";12103;"Río Verde";2023;4;205;19
"250";12104;"San Gregorio";2023;31;658;47
"251";12201;"Cabo de Hornos";2023;163;1973;82
"252";12301;"Porvenir";2023;325;7570;42
"253";12302;"Primavera";2023;61;679;89
"254";12303;"Timaukel";2023;6;278;21
"255";12401;"Natales";2023;971;24447;39
"256";12402;"Torres del Paine";2023;27;1069;25
"257";13101;"Santiago";2023;44386;536089;82
"258";13102;"Cerrillos";2023;5767;90060;64
"259";13103;"Cerro Navia";2023;6588;140581;46
"260";13104;"Conchalí";2023;6235;137678;45
"261";13105;"El Bosque";2023;6380;170536;37
"262";13106;"Estación Central";2023;14877;219897;67
"263";13107;"Huechuraba";2023;4668;117121;39
"264";13108;"Independencia";2023;9028;151890;59
"265";13109;"La Cisterna";2023;6637;101377;65
"266";13110;"La Florida";2023;15523;406796;38
"267";13111;"La Granja";2023;5938;120249;49
"268";13112;"La Pintana";2023;7238;189151;38
"269";13113;"La Reina";2023;3891;99686;39
"270";13114;"Las Condes";2023;8638;341183;25
"271";13115;"Lo Barnechea";2023;2934;129790;22
"272";13116;"Lo Espejo";2023;4551;101615;44
"273";13117;"Lo Prado";2023;5885;102923;57
"274";13118;"Macul";2023;5986;137735;43
"275";13119;"Maipú";2023;21634;586337;36
"276";13120;"Ñuñoa";2023;11267;263319;42
"277";13121;"Pedro Aguirre Cerda";2023;4785;105483;45
"278";13122;"Peñalolén";2023;8734;271854;32
"279";13123;"Providencia";2023;14110;162837;86
"280";13124;"Pudahuel";2023;12689;260129;48
"281";13125;"Quilicura";2023;9152;271385;33
"282";13126;"Quinta Normal";2023;8569;140964;60
"283";13127;"Recoleta";2023;10877;196073;55
"284";13128;"Renca";2023;6731;162854;41
"285";13129;"San Joaquín";2023;5023;103420;48
"286";13130;"San Miguel";2023;7526;142549;52
"287";13131;"San Ramón";2023;4036;84495;47
"288";13132;"Vitacura";2023;2770;97388;28
"289";13201;"Puente Alto";2023;23087;664370;34
"290";13202;"Pirque";2023;1614;32412;49
"291";13203;"San José de Maipo";2023;1347;19330;69
"292";13301;"Colina";2023;7053;193594;36
"293";13302;"Lampa";2023;6076;139266;43
"294";13303;"Tiltil";2023;1246;22262;55
"295";13401;"San Bernardo";2023;16095;345583;46
"296";13402;"Buin";2023;5075;116032;43
"297";13403;"Calera de Tango";2023;1284;29880;42
"298";13404;"Paine";2023;3306;87059;37
"299";13501;"Melipilla";2023;6697;147275;45
"300";13502;"Alhué";2023;339;7756;43
"301";13503;"Curacaví";2023;1910;37932;50
"302";13504;"María Pinto";2023;504;15503;32
"303";13505;"San Pedro";2023;449;12412;36
"304";13601;"Talagante";2023;3475;84670;41
"305";13602;"El Monte";2023;1851;41711;44
"306";13603;"Isla de Maipo";2023;2460;41876;58
"307";13604;"Padre Hurtado";2023;2806;79925;35
"308";13605;"Peñaflor";2023;3447;105498;32
"309";14101;"Valdivia";2023;10034;180848;55
"310";14102;"Corral";2023;299;5432;55
"311";14103;"Lanco";2023;660;17957;36
"312";14104;"Los Lagos";2023;1156;20523;56
"313";14105;"Máfil";2023;430;7381;58
"314";14106;"Mariquina";2023;1573;23830;66
"315";14107;"Paillaco";2023;1024;20915;48
"316";14108;"Panguipulli";2023;1765;36178;48
"317";14201;"La Unión";2023;2370;39668;59
"318";14202;"Futrono";2023;985;15211;64
"319";14203;"Lago Ranco";2023;643;10280;62
"320";14204;"Río Bueno";2023;1445;32982;43
"321";15101;"Arica";2023;16360;255195;64
"322";15102;"Camarones";2023;60;1244;48
"323";15201;"Putre";2023;148;2559;57
"324";15202;"General Lagos";2023;15;804;18
"325";16101;"Chillán";2023;11365;202826;56
"326";16102;"Bulnes";2023;1229;22732;54
"327";16103;"Chillán Viejo";2023;1652;35176;46
"328";16104;"El Carmen";2023;499;12234;40
"329";16105;"Pemuco";2023;437;8600;50
"330";16106;"Pinto";2023;549;12110;45
"331";16107;"Quillón";2023;1007;19182;52
"332";16108;"San Ignacio";2023;622;16614;37
"333";16109;"Yungay";2023;832;18784;44
"334";16201;"Quirihue";2023;547;12234;44
"335";16202;"Cobquecura";2023;313;5238;59
"336";16203;"Coelemu";2023;595;16894;35
"337";16204;"Ninhue";2023;208;5370;38
"338";16205;"Portezuelo";2023;161;4891;32
"339";16206;"Ranquil";2023;346;6290;55
"340";16207;"Treguaco";2023;268;5752;46
"341";16301;"San Carlos";2023;2636;56886;46
"342";16302;"Coihueco";2023;1345;28908;46
"343";16303;"Ñiquén";2023;437;11541;37
"344";16304;"San Fabián";2023;268;4761;56
